TradeDate,FundName,Description,Symbol,Quantity,MarketPrice,TotalPL,AssetType,MarketValue,NetAssetValue,CalcSID,SID,SecID,UnderlierSecID,UnderlierFIGI,NAME,UnderlierName,SECURITY_TYP,SECURITY_TYP2,Country,CRNCY,FXRate,Sector,Industry,MarketCap,30DAvgVolume,PX_POS_MULT_FACTOR,UndlPrice,Strike,MtyYears,Expiry,FinRt,PutCall,VaRTicker,Proxy,Price,IVOL_TM,Delta,Gamma$,Gamma%,Vega,Theta,USD Mkt Cap,MarketCap,DaysLiquid,VaRExposure,BetaExposure,NotionalExposure,Equity,Size(L-S),Valuation(G-V),BondAgg,BondHY,Momentum,Oil,Gold,Commodity,IntlEquity,EMEquity,DollarIndex,Volatility,10YRRates,ConsDisc,ConsStap,Energy,Financials,HealthCare,Industrials,Tech,Materials,RealEstate,Telecom,Utilities,Crowdedness,Short Interest,Cyclicality,Leverage,Profitability,EarningsVariability,DividendYield,Software,Hardware,Semiconductors,Internet,NotionalMV,Volatility,Correlation,Client
3/7/2024,Hedged Equity,AAON INC,AAON,-152.3081,81.12,0,STK,-12355.23,0,BBG000C2LZP3,BBG000C2LZP3,3485,,BBG000C2LZP3,AAON INC,AAON INC,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Building Products,6617910000,428529.3871,1,81.12,0,0,,0,Equity,BBG000C2LZP3 FIGI,S5INDU Index,81.12,0,1,0,0,0,0,6617910000,Mid,0.001777102,-12355.23307,-7462.804969,-11048.28133,0.675472026,0.138783708,0.34389195,-0.550361111,-0.717924035,0.392215911,-0.042263921,-0.021314657,-0.15845225,0.0233018,-0.224384286,0.51834411,-0.615159299,-0.231766288,-0.001193289,0.300073522,-0.094728735,-0.427387833,0.66131996,-0.355742902,0.331648321,-0.097585353,-0.32282503,0.206013795,-0.053825677,-0.053944958,0.022402726,-0.439814849,-1.666834817,0.471569599,0.186954016,-2.475717112,0.393839507,-0.064401031,0.225563366,4.002330694,-11048.28133,0.028285277,0.68580145,FirmLevel
3/7/2024,Hedged Equity,ALARM.COM HOLDINGS INC,ALRM,647.8565,74.49,0,STK,48258.83,0,BBG007GNPYY7,BBG007GNPYY7,4471,,BBG007GNPYY7,ALARM.COM HOLDINGS INC,ALARM.COM HOLDINGS INC,Common Stock,Common Stock,UNITED STATES,USD,1,Information Technology,Software,3720410000,263571.0968,1,74.49,0,0,,0,Equity,BBG007GNPYY7 FIGI,S5INFT Index,74.49,0,1,0,0,0,0,3720410000,Small,0.012289976,48258.83069,16440.28225,17291.8579,0.950752796,-0.388896156,0.653519802,-0.6389027,-0.681446251,0.500147984,0.000969886,-0.144694457,0.110718182,0.011424318,-0.051256664,1.878004097,1.90508881,0.551182876,1.233665329,-1.165716057,0.195828425,-0.219667676,0.165800326,-0.218867904,0.535759204,-0.254361231,-0.253686937,0.21191535,-0.571170669,0.831260013,0.966540349,0.615556945,2.872981364,-4.746046532,7.446272702,-0.321688823,0.73041145,0.063395704,0.087077604,-10.43203538,17291.8579,0.053739609,0.508267152,FirmLevel
3/7/2024,Hedged Equity,AMERICAN TOWER CORP,AMT,136.8914,204.73,0,STK,28025.78,0,BBG000B9XYV2,BBG000B9XYV2,6203,,BBG000B9XYV2,AMERICAN TOWER CORP,AMERICAN TOWER CORP,REIT,REIT,UNITED STATES,USD,1,Real Estate,Equity Real Estate Investment,95476290000,2461758.484,1,204.73,0,0,,0,Equity,BBG000B9XYV2 FIGI,S5RLST Index,204.73,0,1,0,0,0,0,95476290000,Large,0.000278036,28025.77632,29350.36075,25249.74221,1.162402392,-1.490228604,-0.588956889,1.987202473,0.623791537,-0.639209214,0.005607343,0.275473679,-0.055520554,0.568405015,0.154476434,-0.897033124,2.850025468,1.185666492,0.662765413,-1.199498466,0.393218201,0.538040359,-0.615125743,0.663817409,-0.621315751,1.154136573,0.180047492,-0.436089595,-0.108311955,0.895311448,1.008810163,0.666363386,4.681632276,-5.441123018,2.473217408,2.980142942,-0.344856669,-0.757447439,0.090981284,31.00738631,25249.74221,0.052491585,0.636163925,FirmLevel
3/7/2024,Hedged Equity,AMAZON.COM INC,AMZN,284.2715,176.82,0,STK,50264.89,0,BBG000BVPV84,BBG000BVPV84,20,20,BBG000BVPV84,AMAZON.COM INC,AMAZON.COM INC,Common Stock,Common Stock,UNITED STATES,USD,1,Consumer Discretionary,Internet & Direct Marketing Re,1.8367E+12,47256246.9,1,176.82,0,0,,0,Equity,BBG000BVPV84 FIGI,S5COND Index,176.82,0,1,0,0,0,0,1.8367E+12,Mega,3.00777E-05,50264.88663,52276.11089,42968.7521,1.216607612,0.127838768,1.765530803,-1.129136533,0.410922933,1.604264794,0.100547874,0.231661664,0.339591113,-0.032696968,0.228001629,0.893405899,-0.271543863,0.178980859,1.537781376,-1.112200447,-0.115086248,-0.918399572,-0.43872573,-1.599394175,2.187669415,-0.239649293,-0.384818208,1.17918141,-0.558147443,1.000206121,0.521755586,1.346634878,0.433969791,-2.872261452,5.561694023,-3.195565091,2.417530829,0.702772263,0.513730687,30.05680227,42968.7521,0.058357946,0.59891979,FirmLevel
3/7/2024,Hedged Equity,AON PLC-CLASS A,AON,95.2106,316.69,0,STK,30152.24,0,BBG00SSQFPK6,BBG00SSQFPK6,50273,,BBG00SSQFPK6,AON PLC-CLASS A,AON PLC-CLASS A,Common Stock,Common Stock,BRITAIN,USD,1,Financials,Insurance,62798910000,965907.3548,1,316.69,0,0,,0,Equity,BBG00SSQFPK6 FIGI,S5FINL Index,316.69,0,1,0,0,0,0,62798910000,Large,0.000492856,30152.24491,-11247.98459,-9618.728796,1.169383692,-1.068076882,-0.511984586,0.972310035,0.509743203,-0.59297873,0.017651066,0.081864388,-0.014781864,0.454629671,0.297442426,-0.783444735,1.574024039,1.254391065,0.324066023,-0.589694866,0.235705413,0.452925936,-0.290445493,0.54904864,-0.877042437,0.298039973,0.44461632,0.089995302,-0.156025691,0.702424077,0.490023057,0.333662911,3.044871189,-2.89685488,1.681198819,1.554944197,-0.64907768,-0.74550657,-0.047821933,20.91119072,-9618.728796,0.04369727,0.768819445,FirmLevel
3/7/2024,Hedged Equity,ARCBEST CORP,ARCB,-72.3862,146.23,0,STK,-10585.03,0,BBG000C1PFY5,BBG000C1PFY5,3468,,BBG000C1PFY5,ARCBEST CORP,ARCBEST CORP,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Road & Rail,3436970000,286837.5484,1,146.23,0,0,,0,Equity,BBG000C1PFY5 FIGI,S5INDU Index,146.23,0,1,0,0,0,0,3436970000,Small,0.001261798,-10585.03403,-9597.20408,-11703.45322,0.820031823,0.267449279,0.154595575,-0.164548696,-0.088300668,0.468167188,-0.072455916,-0.229575776,-0.220582365,-0.282949575,-0.20824712,0.570196329,-1.291220199,0.058036958,-0.653005964,0.632733464,-0.242394672,-0.213912218,1.131943543,-0.387452478,0.059549862,-0.495269927,0.010338736,-0.057795665,0.104020919,-0.549066865,-0.304274355,-0.826284864,-2.324539851,2.545707404,-1.509829796,-0.806361704,0.034478782,0.084732,-0.014048079,-23.11276664,-11703.45322,0.033100119,0.711709604,FirmLevel
3/7/2024,Hedged Equity,AXON ENTERPRISE INC,AXON,149.2814,315.13,0,STK,47043.05,0,BBG000BHJWG1,BBG000BHJWG1,2975,,BBG000BHJWG1,AXON ENTERPRISE INC,AXON ENTERPRISE INC,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Aerospace & Defense,23730180000,504925.1613,1,315.13,0,0,,0,Equity,BBG000BHJWG1 FIGI,S5INDU Index,315.13,0,1,0,0,0,0,23730180000,Large,0.001478253,47043.04758,40517.82229,47607.63176,0.8510783,0.036148547,0.268094088,0.011268525,-0.274193451,0.570962626,0.019810405,-0.038382576,0.087923395,0.14374036,0.173984736,0.666707788,-0.578991266,0.003615397,0.121901825,-0.032337079,0.069391704,-0.10860021,0.305945302,-0.171515453,0.295207813,-0.221478227,-0.328668276,-0.10608431,-0.278147611,0.145562476,0.057354819,-0.104289846,0.103054748,-0.516668606,1.657820252,-1.159029718,0.354834073,-0.069093359,0.211966046,6.556149772,47607.63176,0.033224377,0.735792735,FirmLevel
3/7/2024,Hedged Equity,BROADRIDGE FINANCIAL SOLUTIO,BR,200.0272,204.9,0,STK,40985.57,0,BBG000PPFKQ7,BBG000PPFKQ7,4008,,BBG000PPFKQ7,BROADRIDGE FINANCIAL SOLUTIO,BROADRIDGE FINANCIAL SOLUTIO,Common Stock,Common Stock,UNITED STATES,USD,1,Information Technology,IT Services,24131530000,681810.1613,1,204.9,0,0,,0,Equity,BBG000PPFKQ7 FIGI,S5INFT Index,204.9,0,1,0,0,0,0,24131530000,Large,0.001466883,40985.57328,78746.31725,51702.12001,1.523077143,-0.931624955,0.004543751,2.965026521,0.913144158,0.442648353,0.172720686,0.751414237,0.398797873,1.015731304,0.791511959,-1.276578627,3.916706512,1.38920461,1.102594564,-2.242180869,0.513608964,0.710185181,-2.746570346,0.652078025,0.934470429,1.235465963,-0.424140429,-0.695066853,-0.606948114,1.628585573,1.046914696,2.651679103,7.287486529,-5.854477675,6.203855817,0.587047269,0.893245342,0.235920404,0.40064005,209.4210755,51702.12001,0.081503051,0.536647535,FirmLevel
3/7/2024,Hedged Equity,BROWN & BROWN INC,BRO,607.583,85.85,0,STK,52161,0,BBG000BWSGF4,BBG000BWSGF4,3401,,BBG000BWSGF4,BROWN & BROWN INC,BROWN & BROWN INC,Common Stock,Common Stock,UNITED STATES,USD,1,Financials,Insurance,24536090000,1191417.258,1,85.85,0,0,,0,Equity,BBG000BWSGF4 FIGI,S5FINL Index,85.85,0,1,0,0,0,0,24536090000,Large,0.002549833,52161.00055,-8908.142026,-12611.27519,0.706363305,0.113779486,0.046309637,0.238622074,-0.062904046,0.177709918,0.005673599,-0.14539636,0.008924669,0.00041467,0.006222592,0.137700749,-0.300031348,0.008803912,-0.0996909,0.205927378,-0.017393872,0.012573042,0.056171308,-0.173499235,0.10556081,-0.043724142,-0.195670535,-0.058656401,-0.069186833,-0.014265053,-0.069407589,-0.090125261,-1.069706433,0.297893075,-0.063804925,-1.585057193,0.067730076,-0.119225188,0.230238677,21.99181499,-12611.27519,0.027159301,0.746844287,FirmLevel
3/7/2024,Hedged Equity,CELLNEX TELECOM SAU-UNSP ADR,CLLNY,1698,18.885,0,STK,32066.73,0,BBG00H2MPBV5,BBG00H2MPBV5,117319,,BBG00H2MPBV5,CELLNEX TELECOM SAU-UNSP ADR,CELLNEX TELECOM SAU-UNSP ADR,ADR,Depositary Receipt,SPAIN,USD,1,Communication Services,Diversified Telecommunication,26683570000,74732.83871,1,18.885,0,0,,0,Equity,BBG00H2MPBV5 FIGI,S5TELS Index,18.885,0,1,0,0,0,0,26683570000,Large,0.113604677,32066.73,-17903.39329,-15715.13959,1.139244942,-1.064461939,0.101794991,2.854278388,0.187690156,-0.025606351,0.033474101,0.351174609,-0.058265946,0.393542451,0.16392261,-0.908361397,2.023690013,3.211797428,0.859568508,-1.081841188,0.127852511,0.008253536,-0.606314358,0.303749571,0.449210211,0.524320993,-0.126139604,-0.009700805,-0.409257148,0.895890488,0.596167901,1.097452298,3.342721342,-4.323263685,3.465197988,0.499264577,0.303878641,-0.241235129,0.70569285,6.992676413,-15715.13959,0.045103486,0.725680365,FirmLevel
