Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000C2LZP3 FIGI,BBG007GNPYY7 FIGI,BBG000B9XYV2 FIGI,BBG000BVPV84 FIGI,BBG00SSQFPK6 FIGI,BBG000C1PFY5 FIGI,BBG000BHJWG1 FIGI,BBG000PPFKQ7 FIGI,BBG000BWSGF4 FIGI,BBG00H2MPBV5 FIGI,BBG000BFT2L4 FIGI,BBG000BHLYP4 FIGI,BBG000F6ZWH2 FIGI,BBG000BHPL78 FIGI,BBG009S3NB30 FIGI,BBG000BL21Z7 FIGI,BBG01HTMDZ54 FIGI,BBG000CTSZQ6 FIGI,BBG000C0G1D1 FIGI,BBG000BW05W9 FIGI,BBG012J3H017 FIGI,BBG000R8ZVD1 FIGI,BBG000F1ZSQ2 FIGI,BBG000MM2P62 FIGI,BBG009J8K7M0 FIGI,BBG000BSWKH7 FIGI,BBG0076WG2V1 FIGI,BBG000BVPG41 FIGI,BBG0025XVR85 FIGI,BBG0160DYCH4 FIGI,BBG000BDSLD7 FIGI,BBG000CTQBF3 FIGI,BBG000R0L5J4 FIGI,BBG01BGWHFR5 FIGI,BBG0136GCJX9 FIGI,BBG000FQRVM3 FIGI,BBG000DJN7L9 FIGI,BBG011C0FS40 FIGI,BBG000F3CWW7 FIGI
3/9/2022,203.43,4277.88,2362.39,2016.291,2056.436,2070.987,2253.78,82.21,156.09,96.897239,1991.83,23.08,2057.53,1090.67,97.968,1148.48,129.400878,1324.232,760.07,568.11,613.18,1512.29,833.65,2616.32,515.42,288.35,225.49,354.46,71.76,242.42,1247.58,1004.88,1123.98,934.54,946.77,3254.58,3086.4,2195.41,12328.66,36.7067,66.7,233.11,139.279,291,85.95,131.63,147.07,63.54,23.36,46.12,230.09,108.88,225.05,133.866,205.5,91.84,230.15,47.63,94.34,13.93,305.82,328.13,198.5,97.82,334.99,57.31,31.44,31.04,22.39217467,111.85,87.6,45.47,261.59,10.85,321.08,286.48,22.64,98.27
3/10/2022,203.43,4259.52,2352.031,2011.673,2040.389,2069.458,2243.5,81.52,155.33,94.508237,1996.98,22.58,2053.78,1102.74,98.507,1145.08,128.889791,1339.588,753.27,585.53,608.28,1511.87,832.65,2570.38,516.35,289.38,223.8,357.03,71.36,239.45,1235.26,1005.04,1124,934.96,946.12,3216.61,3011.33,2150.55,12953.51,36.3733,66.09,232.8,146.818,293.6,85.86,130.33,145.66,63.18,22.9,45.39,227.96,109.94,226.21,132.682,203.96,95.36,227.06,46.66,93.69,12.72,301.74,324.59,195.21,83.78,331.27,57.49,31.07,30.5,22.36531427,108.51,87.16,45.23,255.2,9.5001,319.59,286.26,22.29,97.49
3/11/2022,203.43,4204.31,2319.567,1979.668,2000.088,2052.485,2242.33,80.93,152.33,97.458833,1988.46,23,2043.94,1085.66,99.124,1139.1,128.809857,1315.581,744.6,580.55,603.92,1499.91,826,2524.09,512.53,286.69,219.59,355.7,69.94,228.1,1226.41,1006.58,1126.25,933.18,945.64,3165.83,2951.5,2107.19,12809.41,35.8933,64.44,234.84,145.525,295.33,84.01,124.66,144.6,62.71,22.93,45.02,225.96,107.62,223.9,130.476,206.3,95.42,223.88,45.83,91.27,11.35,291.55,324.79,187.61,81.14,324.4,56.47,31.02,29.4,22.18669259,107.68,82.73,44.25,246.39,9.0001,312.97,284.41,21.02,94.87
3/14/2022,203.43,4173.11,2299.139,1941.719,1965.766,2048.518,2221.48,79.97,150.58,91.825065,1950.88,22.1,2058.05,1055.01,98.999,1130.81,127.723797,1292.555,748.81,563.77,611.45,1510.15,828.66,2476.22,511.85,284.6,215.61,355.32,68.48,217.22,1211.17,1006.83,1131.86,929.33,945.46,3136.23,2879.26,2039.25,12507.09,35.22,62.74,234.93,141.853,297.26,81.93,120.3,143.31,63.56,22.62,44.97,229.57,106.78,228.43,126.741,206.63,93.91,218.89,44.4,89.52,10.91,289.24,328.59,186.63,75.79,318.17,56.16,31.85,27.12,22.25814126,110.05,79.29,43.31,238.66,11.01,311,288.36,19.47,92.73
3/15/2022,203.43,4262.45,2347.693,1968.969,2024.13,2073.215,2222.09,80.57,154.43,85.968443,1917.94,21.46,2052.62,1026.77,99.097,1134.55,127.58008,1336.337,765.39,542.77,619.46,1539.28,841.52,2561.1,517.48,286.6,220.45,359.76,69.75,224.7,1228.81,1007.59,1132.91,930.56,943.71,3235.53,2961.65,2138.72,12993.7,36.1333,63.57,236.21,147.367,307.62,84,121.18,146.28,65.98,22.98,45.54,232,111.42,230.79,129.661,209.77,95.9,223.32,44.81,91.68,11.5,289.92,335,192.03,76.07,328.15,56.35,31.858,28.37,22.60356604,110.73,83.12,44.51,245.17,11.38,317.34,293.19,19.65,93.61
3/16/2022,203.43,4357.86,2404.143,2030.72,2091.184,2106.51,2225.32,81.7,159.81,84.720457,1927.29,21.29,2107.99,1081,98.618,1147.51,127.21271,1381.121,766.42,540.44,637.31,1558.13,852.61,2646.17,525.68,289.84,226.9,359.15,72.75,237.26,1257.65,1006.03,1125.36,934.61,941.11,3332.48,3039.36,2247.35,13497.34,37.8,65.19,239.63,153.104,309.52,89.69,127.3,150.88,66.88,22.83,46.23,242.01,111.06,233.83,133.691,208.62,97.33,230.5,46.63,95.5,12.97,305.1,344.68,203.63,80.47,340.32,57.39,33.11,29.29,22.9014479,114.49,87.41,46.94,280.96,12,327.04,293.85,20.63,99.13
3/17/2022,203.44,4411.67,2435.68,2065.019,2122.097,2131.63,2227.03,82.26,162.65,91.798323,1942.89,22.5,2149.68,1120.93,97.974,1154.28,127.276596,1406.865,770.98,559.27,645.14,1583.16,864.05,2664.42,535.91,293.79,229.02,360.79,74.05,244.94,1254.39,1006.06,1122.03,936.71,942.53,3357.28,3060.41,2260.05,13862.98,37.4867,65.94,245.14,157.239,315.93,91.68,131.34,152.29,68.03,23.92,46.48,246.28,111.34,239.42,134.601,210.54,99.2,235.97,47.14,97.6,13.65,307.6,346.44,207.84,85.23,344.44,57.88,33.53,31.26,23.20873091,115.71,87.66,47.56,280.13,12.25,330.79,302,21.4,99.19
3/18/2022,203.44,4463.12,2466.14,2086.143,2166.162,2140.184,2233.56,82.53,165.82,93.331564,1921.62,22.7,2156.76,1122.98,98.233,1159.3,127.58008,1437.522,773.04,559.78,647.02,1593.48,867.47,2722.71,539.1,294.41,232.31,357.55,75.55,252.14,1269.89,1004.64,1122.63,938.36,941.82,3424.82,3120.38,2325.7,14213.24,38.9333,67.69,242.53,161.251,318.38,93.29,134.89,153.59,69.59,24.3,46.91,249.6,114.67,241.11,136.802,206.86,98.89,239.5,47.45,99.97,14.3,316.93,350.09,216.49,85.98,351.49,58.4,33.84,30.87,23.30059349,115.36,89.6,48.35,294.73,12.47,338.14,308.81,21.35,100.38
3/21/2022,203.44,4461.18,2463.364,2065.936,2156.612,2142.613,2213.34,81.58,165.61,99.945892,1935.91,23.82,2157.62,1115.26,98.498,1154.79,126.174591,1426.617,773.95,581,646.21,1591.59,868.94,2717.9,543.7,292.87,230.77,359.97,75.42,246.55,1259.13,1004.18,1122.81,936.75,942.71,3395.89,3139.71,2329.24,14222.11,37.8667,67.72,241.64,161.492,317.9,90.99,134.37,151.96,69.51,23.33,46.67,250.76,108.93,237.84,136.479,206.66,98.67,239.22,47.39,98.9,13.57,308.22,345.58,211.49,85.24,350.08,58.03,33.605,30.48,23.34007828,111.87,86.86,49.04,288.31,12.6,338.08,303.56,20.26,99.16
3/22/2022,203.45,4511.61,2492.708,2088.343,2194.286,2155.877,2205.71,82,168.62,99.624981,1921.69,23.65,2170.43,1131.41,98.493,1162.06,125.647558,1461.51,779.02,577.16,656.55,1591.84,873.54,2756.55,546.51,293.03,235.4,360.3,76.95,255.81,1277.97,1004.31,1120.02,939.98,942.27,3451.77,3194.58,2340.25,14520.54,37.1267,67.67,239.67,164.889,315.24,92.77,137.67,152.72,69.21,23.46,47.22,247.99,109.11,239.6,140.278,205.79,99.24,243.16,48.39,100.61,13.93,315.03,349.53,216.65,86.17,356.96,58.18,34.065,31.89,23.46363613,112.73,87.89,49.41,298.51,12.85,339.8,301.1,21.75,103.11
3/23/2022,203.46,4456.24,2461.392,2052.206,2162.873,2131.38,2218,81.74,165.81,104.785386,1943.86,24.49,2166.71,1140.72,98.622,1162.09,126.047378,1443.519,772.12,587.2,644.46,1563.68,865.55,2715.11,544.38,290,232.47,360.9,75.8,254.81,1271.65,1004.38,1118.33,937.45,944.37,3376.5,3200.73,2282.41,14386.69,35.7867,65.26,234,163.408,313.77,88.11,134.82,150.56,68.68,23.15,46.52,246.79,107.55,236.62,138.504,200.28,98.81,235,48.27,98.8,14.02,310.42,342.18,213.46,84.48,351.83,56.59,33.6801,31.59,23.24902151,109.79,86.22,49.7,289.41,12.35,323.86,300.27,25.41,100.87
3/24/2022,203.45,4520.16,2496.009,2075.443,2201.943,2151.994,2209.6,81.91,168.25,102.423999,1957.69,24.19,2162.5,1136.95,98.789,1162.77,125.823516,1454.102,776.88,587.95,649.33,1581.62,872,2788.63,555.07,291.85,236.39,364.49,76.53,259.24,1281.24,1003.71,1118.26,937.54,944.32,3429.08,3267.22,2423.22,14415.36,35.2867,66.48,235.49,163.65,317.37,88.54,138.15,151.92,68.99,23.45,46.8,244.93,106.89,236.53,141.312,195.52,98.8,237.62,51.62,100.31,14.33,317.74,349.35,219.57,87.01,359.65,57.13,34.28,32.28,23.42227111,111.22,87.12,50.46,294.13,12.6,325.11,297.66,23.93,100.72
3/25/2022,203.45,4543.06,2506.392,2077.983,2198.863,2172.406,2192.96,81.32,168.19,103.846302,1958.29,24.38,2159.53,1125.01,98.789,1156.29,124.416058,1452.848,783.16,601.34,657.82,1589.78,877.48,2786.1,561.19,295.45,237.3,369.89,75.78,256.55,1272.32,1003.54,1120.01,935.35,944.58,3421.56,3281.16,2409.66,14500.85,34.8267,65.26,240.69,164.773,322.94,86.11,132.69,152.77,70.37,23.9,47.13,247.72,108.33,235.46,141.522,195.18,101.45,238.63,51.83,99.66,14.47,321.14,349.02,221.82,87.02,359.35,57.28,35.07,31.32,23.56946612,111.34,87.45,50.36,284.21,12.78,325.97,298.2,23.01,98.81
