TradeDate,FundName,Description,Ticker,Analyst,Symbol,BBYellowKey,Quantity,MarketPrice,DailyPL,Type,MarketValue,NAV,CalcSID,SID,SecID,UndlSecID,UnderlierTicker,NAME,UnderlierName,SECURITY_TYP,SECURITY_TYP2,Country,Currency,FXRate,Sector,Industry,MarketCap,AvgVolume,PX_POS_MULT_FACTOR,UndlPrice,Strike,MtyYears,Expiry,FinRt,PutCall,VaRTicker,Proxy,Price,IVOL_TM,Delta,Gamma$,Gamma%,Vega,Theta,USD Mkt Cap,MarketCap,DaysLiquid,Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Bombardier Inc,BBD/B CN,YELLIN,Bombardier Inc,BBD/B CN Equity,-4280.0,55.56,-11689.55312,EQUITIES,-178157.36,1,BBD/B CN Equity,BBD/B CN Equity,4990,4990,BBG000BXPP29 FIGI,BOMBARDIER INC-B,BOMBARDIER INC-B,Common Stock,Common Stock,CANADA,CAD,0.7492,Industrials,Aerospace & Defense,5527560000,673427.2581,1,55.56,0,0,,0,Equity,BBG000BXPP29 FIGI,S5INDU Index,55.56,0,1,0,0,0,0,4141247952,Mid,0.031777745,-178157.3626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Pandora A/S,PNDORA DC,MORRIS,Pandora A/S,PNDORA DC Equity,-519.0,979.8,-2563.38252,EQUITIES,-74650.18,1,PNDORA DC Equity,PNDORA DC Equity,6176,6176,BBG0016S3JL1 FIGI,PANDORA A/S,PANDORA A/S,Common Stock,Common Stock,DENMARK,DKK,0.1468,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",86152000000,86674.70968,1,979.8,0,0,,0,Equity,BBG0016S3JL1 FIGI,S5COND Index,979.8,0,1,0,0,0,0,12647113600,Large,0.029939529,-74650.17816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Philips Lighting Nv,LIGHT NA,YELLIN,PHILIPS LIGHTING NV,LIGHT NA Equity,-8048.0,29.21,-3951.53581,EQUITIES,-257414.88,1,LIGHT NA Equity,LIGHT NA Equity,7403,7403,BBG00CTZ9MW1 FIGI,SIGNIFY NV,SIGNIFY NV,Common Stock,Common Stock,NETHERLANDS,EUR,1.095,Industrials,Electrical Equipment,3820810000,129479.7742,1,29.21,0,0,,0,Equity,BBG00CTZ9MW1 FIGI,S5INDU Index,29.21,0,1,0,0,0,0,4183786950,Mid,0.31078213,-257414.8776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Becle Sab De Cv,CUERVO* MM,MORRIS,BECLE SAB DE CV,CUERVO* MM Equity,354178.0,33.61,9758.56018,EQUITIES,706973.96,1,CUERVO* MM Equity,CUERVO* MM Equity,80707,80707,BBG008FDQZL8 FIGI,BECLE SAB DE CV,BECLE SAB DE CV,Common Stock,Common Stock,MEXICO,MXN,0.05939,Consumer Staples,Beverages,1.20699E+11,2256580.387,1,33.61,0,0,,0,Equity,BBG008FDQZL8 FIGI,S5CONS Index,33.61,0,1,0,0,0,0,7168339742,Mid,0.784767079,706973.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Danaher Corp,DHR US,POLLOCK,Danaher Corp,DHR US Equity,1616.0,234.86,7385.12,EQUITIES,379533.76,1,DHR US Equity,DHR US Equity,2956,2956,BBG000BH3JF8 FIGI,DANAHER CORP,DANAHER CORP,Common Stock,Common Stock,UNITED STATES,USD,1,Health Care,Health Care Equipment & Suppli,1.73544E+11,2585473.935,1,234.86,0,0,,0,Equity,BBG000BH3JF8 FIGI,S5HLTH Index,234.86,0,1,0,0,0,0,1.73544E+11,Mega,0.003125152,379533.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Danaher Corp,DHR US,YANOVER,Danaher Corp,DHR US Equity,1616.0,234.86,7385.12,EQUITIES,379533.76,1,DHR US Equity,DHR US Equity,2956,2956,BBG000BH3JF8 FIGI,DANAHER CORP,DANAHER CORP,Common Stock,Common Stock,UNITED STATES,USD,1,Health Care,Health Care Equipment & Suppli,1.73544E+11,2585473.935,1,234.86,0,0,,0,Equity,BBG000BH3JF8 FIGI,S5HLTH Index,234.86,0,1,0,0,0,0,1.73544E+11,Mega,0.003125152,379533.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Digital Realty Trust Inc,DLR US,FROJMOVICH,Digital Realty Trust Inc,DLR US Equity,1562.0,133.7,4482.94,EQUITIES,208839.40,1,DLR US Equity,DLR US Equity,5656,5656,BBG000Q5ZRM7 FIGI,DIGITAL REALTY TRUST INC,DIGITAL REALTY TRUST INC,REIT,REIT,UNITED STATES,USD,1,Real Estate,Equity Real Estate Investment,41356810000,1964361.516,1,133.7,0,0,,0,Equity,BBG000Q5ZRM7 FIGI,S5RLST Index,133.7,0,1,0,0,0,0,41356810000,Large,0.003975847,208839.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Digital Realty Trust Inc,DLR US,MIXTER,Digital Realty Trust Inc,DLR US Equity,1562.0,133.7,4482.94,EQUITIES,208839.40,1.00,DLR US Equity,DLR US Equity,5656,5656,BBG000Q5ZRM7 FIGI,DIGITAL REALTY TRUST INC,DIGITAL REALTY TRUST INC,REIT,REIT,UNITED STATES,USD,1,Real Estate,Equity Real Estate Investment,41356810000,1964361.516,1,133.7,0,0,,0,Equity,BBG000Q5ZRM7 FIGI,S5RLST Index,133.7,0,1,0,0,0,0,41356810000,Large,0.003975847,208839.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Dxc Technology Co,DXC US,MIXTER,Dxc Technology Co,DXC US Equity,-9062.0,23.23,-6343.4,EQUITIES,-210510.26,1,DXC US Equity,DXC US Equity,4579,4579,BBG00FN64XT9 FIGI,DXC TECHNOLOGY CO,DXC TECHNOLOGY CO,Common Stock,Common Stock,UNITED STATES,USD,1,Information Technology,IT Services,4498340000,2506300.452,1,23.23,0,0,,0,Equity,BBG00FN64XT9 FIGI,S5INFT Index,23.23,0,1,0,0,0,0,4498340000,Mid,0.018078439,-210510.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Everest Group Ltd,EG US,FROJMOVICH,Everest Group Ltd,EG US Equity,676.0,372.5,736.84,EQUITIES,251810.00,1,EG US Equity,EG US Equity,214,214,BBG000C1XVK6 FIGI,EVEREST RE GROUP LTD,EVEREST RE GROUP LTD,Common Stock,Common Stock,BERMUDA,USD,1,Financials,Insurance,16162930000,431360.2258,1,372.5,0,0,,0,Equity,BBG000C1XVK6 FIGI,S5FINL Index,372.5,0,1,0,0,0,0,16162930000,Large,0.007835678,251810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Everest Group Ltd,EG US,HARVEY,Everest Group Ltd,EG US Equity,676.0,372.5,736.84,EQUITIES,251810.00,1,EG US Equity,EG US Equity,214,214,BBG000C1XVK6 FIGI,EVEREST RE GROUP LTD,EVEREST RE GROUP LTD,Common Stock,Common Stock,BERMUDA,USD,1,Financials,Insurance,16162930000,431360.2258,1,372.5,0,0,,0,Equity,BBG000C1XVK6 FIGI,S5FINL Index,372.5,0,1,0,0,0,0,16162930000,Large,0.007835678,251810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Estee Lauder Companies Inc,EL US,MORRIS,Estee Lauder Companies Inc,EL US Equity,1987.0,139.03,3437.51,EQUITIES,276252.61,1,EL US Equity,EL US Equity,3761,3761,BBG000FKJRC5 FIGI,ESTEE LAUDER COMPANIES-CL A,ESTEE LAUDER COMPANIES-CL A,Common Stock,Common Stock,UNITED STATES,USD,1,Consumer Staples,Personal Products,49751410000,2546084.935,1,139.03,0,0,,0,Equity,BBG000FKJRC5 FIGI,S5CONS Index,139.03,0,1,0,0,0,0,49751410000,Large,0.003902069,276252.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,EnerSys,ENS US,YELLIN,EnerSys,ENS US Equity,-2030.0,98.97,-5054.7,EQUITIES,-200909.10,1,ENS US Equity,ENS US Equity,4023,4023,BBG000PWTD92 FIGI,ENERSYS,ENERSYS,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Electrical Equipment,3998300000,275360.1613,1,98.97,0,0,,0,Equity,BBG000PWTD92 FIGI,S5INDU Index,98.97,0,1,0,0,0,0,3998300000,Mid,0.036860815,-200909.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2024,CRM LS Opps,Ensign Group Inc,ENSG US,YANOVER,Ensign Group Inc,ENSG US Equity,-1335.0,115.29,-1708.8,EQUITIES,-153912.15,1,ENSG US Equity,ENSG US Equity,3902,3902,BBG000K1T9L0 FIGI,ENSIGN GROUP INC/THE,ENSIGN GROUP INC/THE,Common Stock,Common Stock,UNITED STATES,USD,1,Health Care,Health Care Providers & Servic,6508380000,259518.2903,1,115.29,0,0,,0,Equity,BBG000K1T9L0 FIGI,S5HLTH Index,115.29,0,1,0,0,0,0,6508380000,Mid,0.02572073,-153912.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
