TradeDate,FundName,Description,Ticker,Analyst,Symbol,BBYellowKey,Quantity,MarketPrice,DailyPL,Type,MarketValue,NAV,CalcSID,SID,SecID,UndlSecID,UnderlierTicker,NAME,UnderlierName,SECURITY_TYP,SECURITY_TYP2,Country,Currency,FXRate,Sector,Industry,MarketCap,AvgVolume,PX_POS_MULT_FACTOR,UndlPrice,Strike,MtyYears,Expiry,FinRt,PutCall,VaRTicker,Proxy,Price,IVOL_TM,Delta,Gamma$,Gamma%,Vega,Theta,USD Mkt Cap,MarketCap,DaysLiquid,Exposure
3/7/2024,CRM LS Opps,Bombardier Inc,BBD/B CN,YELLIN,Bombardier Inc,BBD/B CN Equity,-5671,52.44,1667.72768,EQUITIES,-220958.7193,1,BBD/B CN Equity,BBD/B CN Equity,4990,4990,BBG000BXPP29 FIGI,BOMBARDIER INC-B,BOMBARDIER INC-B,Common Stock,Common Stock,CANADA,CAD,0.743,Industrials,Aerospace & Defense,5226900000,801695.9032,1,52.44,0,0,,0,Equity,BBG000BXPP29 FIGI,S5INDU Index,52.44,0,1,0,0,0,0,3883586700,Mid,0.035368772,-220958.7193
3/7/2024,CRM LS Opps,Pandora A/S,PNDORA DC,MORRIS,Pandora A/S,PNDORA DC Equity,-519,1135.5,-2043.89985,EQUITIES,-86571.76905,1,PNDORA DC Equity,PNDORA DC Equity,6176,6176,BBG0016S3JL1 FIGI,PANDORA A/S,PANDORA A/S,Common Stock,Common Stock,DENMARK,DKK,0.1469,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",1.02706E+11,100767.5161,1,1135.5,0,0,,0,Equity,BBG0016S3JL1 FIGI,S5COND Index,1135.5,0,1,0,0,0,0,15087511400,Large,0.025752347,-86571.76905
3/7/2024,CRM LS Opps,Signify NV,LIGHT NA,YELLIN,Signify NV,LIGHT NA Equity,-8048,25.5,-2145.89457,EQUITIES,-224679.2352,1,LIGHT NA Equity,LIGHT NA Equity,7403,7403,BBG00CTZ9MW1 FIGI,SIGNIFY NV,SIGNIFY NV,Common Stock,Common Stock,NETHERLANDS,EUR,1.0948,Industrials,Electrical Equipment,3277910000,145762.3548,1,25.5,0,0,,0,Equity,BBG00CTZ9MW1 FIGI,S5INDU Index,25.5,0,1,0,0,0,0,3588655868,Mid,0.276065792,-224679.2352
3/7/2024,CRM LS Opps,Becle Sab De Cv,CUERVO* MM,MORRIS,BECLE SAB DE CV,CUERVO* MM Equity,353361,40.36,2520.80671,EQUITIES,845145.3766,1,CUERVO* MM Equity,CUERVO* MM Equity,80707,80707,BBG008FDQZL8 FIGI,BECLE SAB DE CV,BECLE SAB DE CV,Common Stock,Common Stock,MEXICO,MXN,0.05926,Consumer Staples,Beverages,1.4494E+11,1700712.032,1,40.36,0,0,,0,Equity,BBG008FDQZL8 FIGI,S5CONS Index,40.36,0,1,0,0,0,0,8589137289,Mid,1.038861939,845145.3766
3/7/2024,CRM LS Opps,Exp World Holdings Inc,EXPI US,MIXTER,eXp World Holdings Inc,EXPI US Equity,-5352,12.78,-3211.2,EQUITIES,-68398.56,1,EXPI US Equity,EXPI US Equity,4197,4197,BBG001DCTG63 FIGI,EXP WORLD HOLDINGS INC,EXP WORLD HOLDINGS INC,Common Stock,Common Stock,UNITED STATES,USD,1,Real Estate,Real Estate Management & Devel,1976670000,1007646.129,1,12.78,0,0,,0,Equity,BBG001DCTG63 FIGI,S5RLST Index,12.78,0,1,0,0,0,0,1976670000,Small,0.026556942,-68398.56
3/7/2024,CRM LS Opps,Exp World Holdings Inc,EXPI US,YELLIN,eXp World Holdings Inc,EXPI US Equity,-5352,12.78,-2676,EQUITIES,-68398.56,1,EXPI US Equity,EXPI US Equity,4197,4197,BBG001DCTG63 FIGI,EXP WORLD HOLDINGS INC,EXP WORLD HOLDINGS INC,Common Stock,Common Stock,UNITED STATES,USD,1,Real Estate,Real Estate Management & Devel,1976670000,1007646.129,1,12.78,0,0,,0,Equity,BBG001DCTG63 FIGI,S5RLST Index,12.78,0,1,0,0,0,0,1976670000,Small,0.026556942,-68398.56
3/7/2024,CRM LS Opps,Lovesac Co,LOVE US,MIXTER,Lovesac Co,LOVE US Equity,-1910.5,21.69,-534.94,EQUITIES,-41438.745,1,LOVE US Equity,LOVE US Equity,7537,7537,BBG000QYVKN2 FIGI,LOVESAC CO/THE,LOVESAC CO/THE,Common Stock,Common Stock,UNITED STATES,USD,1,Consumer Discretionary,Household Durables,335960000,213582,1,21.69,0,0,,0,Equity,BBG000QYVKN2 FIGI,S5COND Index,21.69,0,1,0,0,0,0,335960000,Small,0.044725211,-41438.745
3/7/2024,CRM LS Opps,Lovesac Co,LOVE US,MORRIS,Lovesac Co,LOVE US Equity,-1910.5,21.69,-534.94,EQUITIES,-41438.745,1,LOVE US Equity,LOVE US Equity,7537,7537,BBG000QYVKN2 FIGI,LOVESAC CO/THE,LOVESAC CO/THE,Common Stock,Common Stock,UNITED STATES,USD,1,Consumer Discretionary,Household Durables,335960000,213582,1,21.69,0,0,,0,Equity,BBG000QYVKN2 FIGI,S5COND Index,21.69,0,1,0,0,0,0,335960000,Small,0.044725211,-41438.745
3/7/2024,CRM LS Opps,Bloom Energy Corp,BE US,MIXTER,Bloom Energy Corp,BE US Equity,-8656.5,10.44,-7790.85,EQUITIES,-90373.86,1,BE US Equity,BE US Equity,6782,6782,BBG000N7KBZ3 FIGI,BLOOM ENERGY CORP- A,BLOOM ENERGY CORP- A,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Electrical Equipment,2348720000,6656249.677,1,10.44,0,0,,0,Equity,BBG000N7KBZ3 FIGI,S5INDU Index,10.44,0,1,0,0,0,0,2348720000,Mid,0.006502536,-90373.86
3/7/2024,CRM LS Opps,Bloom Energy Corp,BE US,YELLIN,Bloom Energy Corp,BE US Equity,-8656.5,10.44,-7790.85,EQUITIES,-90373.86,1,BE US Equity,BE US Equity,6782,6782,BBG000N7KBZ3 FIGI,BLOOM ENERGY CORP- A,BLOOM ENERGY CORP- A,Common Stock,Common Stock,UNITED STATES,USD,1,Industrials,Electrical Equipment,2348720000,6656249.677,1,10.44,0,0,,0,Equity,BBG000N7KBZ3 FIGI,S5INDU Index,10.44,0,1,0,0,0,0,2348720000,Mid,0.006502536,-90373.86
