Date,LD12TRUU Index,SPTR Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,GC1 Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BXPP29 FIGI,BBG0016S3JL1 FIGI,BBG00CTZ9MW1 FIGI,BBG008FDQZL8 FIGI,BBG000BH3JF8 FIGI,BBG000Q5ZRM7 FIGI,BBG00FN64XT9 FIGI,BBG000FKJRC5 FIGI,BBG000PWTD92 FIGI,BBG000K1T9L0 FIGI,BBG00XP21PQ0 FIGI,BBG005CHLM96 FIGI,BBG000BP30Y0 FIGI,BBG000BJW241 FIGI,BBG001DCTG63 FIGI,BBG000V78V75 FIGI,BBG000BJGGV8 FIGI,BBG000BK2F42 FIGI,BBG012QSDSK6 FIGI,BBG000BK6MB5 FIGI,BBG000PQ4W72 FIGI,BBG00NBK0GC3 FIGI,BBG000CVRFS4 FIGI,BBG00Z9CCRH5 FIGI,BBG00XXPB3L3 FIGI,BBG000G9W6L0 FIGI,BBG000BLNNH6 FIGI,BBG000BD2167 FIGI,BBG00VSYYVB8 FIGI,BBG000BMQCP6 FIGI,BBG018CYVVW5 FIGI,BBG000BMTX31 FIGI,BBG000BMY992 FIGI,BBG000CS7CT9 FIGI,BBG000BNGTQ7 FIGI,BBG000N7KBZ3 FIGI,BBG000H9LNX1 FIGI,BBG000F9XKN7 FIGI,BBG000BT1XR0 FIGI,BBG004S641N5 FIGI,BBG000BGKJ70 FIGI,BBG000CS0D96 FIGI,BBG000CYSFS7 FIGI,BBG00RP5HYS8 FIGI,BBG00Q741Z16 FIGI,BBG000BFRRX8 FIGI,BBG000BGKTF9 FIGI,BBG000BCVMH9 FIGI,BBG000C3J3C9 FIGI,BBG000KMVDV1 FIGI,BBG00JGMWFM9 FIGI,BBG00G5JGQ66 FIGI,BBG000FKMP26 FIGI,BBG00B8NWRF5 FIGI,BBG000BVMGF2 FIGI,BBG000H9G7X2 FIGI,BBG00D0Y81M1 FIGI,BBG000BRNGM2 FIGI,BBG000BCQ4P6 FIGI,BBG000BJ5HK0 FIGI,BBG000C221G9 FIGI,BBG000BDCQ25 FIGI,BBG000C2VBB0 FIGI,BBG000CGC1X8 FIGI,BBG000HT5G06 FIGI,BBG00HY28K89 FIGI,BBG002293PJ4 FIGI,BBG000P5LMQ0 FIGI,BBG001KFKQM7 FIGI,BBG000BLV2Q3 FIGI,BBG000BT2TP0 FIGI,BBG000BLJWF3 FIGI,BBG000BSJK37 FIGI,BBG002BC7WC5 FIGI,BBG000BVWZF9 FIGI,BBG000BW3299 FIGI,BBG000BXMFC3 FIGI,BBG00RRGSJR4 FIGI,BBG000BDD940 FIGI,BBG000CQCCK6 FIGI,BBG000G7CDN9 FIGI,BBG000BD53V2 FIGI,BBG000MQQ963 FIGI,BBG001D8R5D0 FIGI,BBG000C6W444 FIGI,BBG000BGYMH7 FIGI,BBG000C8H633 FIGI,BBG01KN29X02 FIGI,BBG01KP5K5J1 FIGI,BBG01KPVGL95 FIGI,BBG01KQ6DGT1 FIGI,BBG01KR2QD67 FIGI,BBG01KRNB1K7 FIGI,BBG01KS17Q79 FIGI,BBG01KS86ML8 FIGI,BBG01KT2GV75 FIGI,BBG01KTTNW30 FIGI,BBG01KV3M6P8 FIGI,BBG01KVL5BC0 FIGI,BBG01KWMZZF8 FIGI,BBG01KX68KZ3 FIGI,BBG01KXPHJ11 FIGI,BBG01KY0T8K5 FIGI,BBG01KYM8ZF6 FIGI,BBG01KZHH1S7 FIGI,BBG01L01L9T5 FIGI,BBG01L0NGR77 FIGI,BBG000BPH459 FIGI,BBG000JCPGZ1 FIGI,BBG000BJSBJ0 FIGI,BBG00GNT7999 FIGI,BBG000CHSS88 FIGI,BBG000BS9489 FIGI,BBG000QFJJW0 FIGI,BBG000C496P7 FIGI,BBG000JK9DK4 FIGI,BBG000QYVKN2 FIGI,BBG000F1ZSQ2 FIGI,BBG000MM2P62 FIGI,BBG000C1XVK6 FIGI,BBG000BLKK03 FIGI,BBG01KHLTFQ6 FIGI,BBG01KJC4Y71 FIGI,BBG01KJN6WX0 FIGI,BBG01KJYB0R7 FIGI,BBG01KM5DFP3 FIGI,BBG003CVMLQ2 FIGI
1/17/2022,203.4,9775.53,2577.518,2162.456,2298.47,2200.172,2312.21,86.09,172.15,74.718097,1897.986629,18.32,2337.99,1254.4,95.258,1164.01,131.029917,1545.898,804.27,491.98,679.12,1563.07,895.18,2910.18,557.86,302.59,261.66,352.83,82.37,259.94,1383.05,993.07,1124.43,940.73,942.87,3629.28,3317.39,2551.37,14352.57,36.36509,118.41016,51.09152,2.60934,259.9871,155.88,33.99,322.05,80.35,80.43,8.59,25.36,133.23,158.87,29.32,79.54,90.45,118.04,24.2,80.5,306.28,6.74,92.19,22.15,9.68,80.62,134.21,63.11,34.41,66.93,18.79600506,60.56,49.12,47.77,55.83,18.13,32.27,23.38,1.114381589,229.99,31.91,577,23.15,51.1,14.69,96.53,160.56,77.5,61.36,18.48,52.41,15.68,93.73,48.04,124.08,34.14,105.7,106.05,209.08,206.56,66.11,12.08,115.88,188.69,126.29,26.17,447.46,276.6,29.24,41.94,68.24,197.85,20.5148,100.26,480.52,246.27,327.82,30,95.7,128.69,119.41,117.67,100.49,111.54,29.045,402.63,19.47,151.46,152.69,103.95,100.13,137.46,102.57,126.07,128.8,134.71,139.84,125.55,101.99,114.4,121.99,124.92,125.44,117.86,128.96,129.01,103.62,310.2,45.32,83.2,36.99,316.12,79.6,50.46,36.82,73.55,52.61,372.14,331.9,290.3,391.66,105.71,112.41,105.41,106.61,118.91,68.93
1/18/2022,203.4,9595.926,2528.671,2096.225,2243.923,2166.246,2297.99,85.67,167.68,76.15327,1893.702707,18.53,2313.35,1241.58,95.732,1156.03,130.1994,1516.225,792.25,493.97,663.53,1541.38,884.55,2837.84,550.49,300.44,256.45,348.59,80.37,249.14,1370.93,993.71,1128.1,938.12,944.92,3556.24,3251.85,2444.47,14067.72,35.83944,115.92704,49.80988,2.55775,255.6349,155.87,32.57,310.95,78.65,77.39,8.24,23.92,125.71,154.8,27.08,78.02,88.82,114.5,23.49,80.2893,294.9,6.3,89.85,21.82,9.18,79.49,132.94,59.77,33.33,66.63,18.51509444,57.43,48.59,49.75,55.53,17.04,30.49,24.85,1.092991404,219.08,31.77,578.6,23.1,49.65,14.3,95.09,157.08,75.55,59.73,18.25,52.64,16.05,89.1,47.29,123.22,34.17,102.33,105.41,206.87,207.29,66.82,11.8,116.07,178.86,125.1,25.77,426.27,279.16,29.64,42.02,64.8,196.81,20.6129,97.26,465.94,238.04,314.2,29.78,93.13,120.32,117.02,116.62,94.52,109.98,28.62,396.48,19.43,146.66,147.85,102.47,98.81,133.56,101.12,122.28,127.42,131.85,137.6,123.39,100.48,111.8,118.5,122.42,123.3,115.46,126.31,123.44,101.79,302.65,43.94,81.25,37.09,313.76,78.89,49.7,35.21,69.37,52.45,366.3,318.15,290.9,387.88,104.3,109.9,103.76,104.99,114.01,67.72
1/19/2022,203.4,9503.135,2504.006,2062.783,2219.201,2146.299,2303.77,85.59,165.77,77.517129,1925.884368,18.62,2301,1239.83,95.51,1153.58,130.502884,1488.844,797.67,490.72,652.56,1534.57,874.8,2798.88,549.33,296.8,255.96,350.19,79.66,245.66,1355.61,992.91,1130.42,935.92,944.81,3549.99,3187.61,2368.48,13849.48,33.63229,119.90978,51.6152,2.49668,254.4205,154.93,32.01,309.52,77.53,76,8.34,23.53,122.55,151.1,26.49,77.27,87.81,113.3,21.93,78.5179,291.36,6.02,86.94,21.66,9.18,79.02,131.58,59.76,33.11,65.91,18.64176129,55.68,48.58,51.83,55.57,16.83,30.89,23.34,1.073253438,224,31.25,553.86,23.6,48.79,14.24,95.17,151.61,75.89,58.9,18.01,50.9,15.67,86.11,47.27,120.93,34.14,99.94,105.34,206.25,204.3,66.3,11.61,117.36,172.47,124.96,25.79,416.05,282.19,29.17,41.7,62.06,193.98,20.5903,94.89,466.74,239.49,307.3,29.43,91.92,116.06,116.74,115.66,93.5,108.51,28.245,390.36,19.1,138.65,139.77,101.44,98.07,131.43,99.95,118.26,127.89,129.95,138.02,122.43,99.82,110.98,117.99,121.9,121.96,114.76,125.69,122.34,100.73,303.33,44.46,82.59,36.01,312.43,76.97,48.76,35.07,68.3,50.04,360.73,319.59,287.34,377.84,103.48,108.8,102.78,103.75,110.1,67.03
1/20/2022,203.4,9398.964,2475.86,2024.037,2189.97,2124.483,2306.28,85.43,163.94,77.463644,1925.257453,18.56,2318.85,1255.74,95.735,1153.55,130.534776,1459.916,791.89,486.31,648.48,1525.63,863.97,2761.65,541.46,294.08,253.05,350.69,78.35,239.56,1346.01,992.91,1129.81,933.73,944.43,3530.94,3151.61,2288.31,13442.1,33.90307,118.7929,52.54595,2.43408,250.8129,155.4,32.03,301.06,75.84,75.89,8.2,22.76,121.56,148.39,26.58,74.59,86.22,113.2,21.37,76.6685,284.11,5.93,88.43,20.96,9.26,77.5,130.82,59.77,32.88,64.96,18.50668115,53.16,47.27,48.09,53.11,16.66,29.59,22.06,1.052400296,215.83,30.82,543.82,22.21,48.03,14.13,94.18,150.27,76.37,58.08,17.65,48.45,15.92,85.11,46.23,119.49,32.27,98.09,105.02,203.06,200.08,64.47,11.37,115.77,166.5,125.05,25.36,404.24,287.01,28.37,39.59,59.36,189.67,20.394,94.43,458.68,242.07,307.11,28.81,91.88,115.42,113.51,114.04,91.97,106.52,27.155,391.45,18.68,134.79,135.89,99.9,96.7,129.18,98.39,115.76,125.59,127.58,136.63,122.51,98.47,109.73,116.61,121.39,120.19,113.7,124.95,120.68,99.1,301.6,42.89,83.51,35.13,306.99,75.54,47.23,33.73,64.14,48.91,364,316.56,287.1,383.01,102.06,107.15,101.2,102.08,107.01,65.33
1/21/2022,203.4,9221.282,2427.555,1987.918,2135.221,2095.465,2313.35,85.44,159.99,77.092398,1913.972974,18.57,2284.35,1244.31,95.642,1147.3,131.157688,1414.665,792.02,476.81,635.39,1509.42,855.63,2708.3,527.96,293.96,243.22,350.05,76.67,230.93,1325.95,992.93,1132.43,931.52,946.2,3451.94,3104.64,2245.35,12657.48,30.86911,115.08445,49.99048,2.4328,248.5881,154.95,30.54,297.02,74.21,75.52,7.99,22.14,118.52,144.72,24.81,73.64,86.64,111.78,20.13,75.1468,271.16,5.54,87.01,21.13,8.99,77.59,129.35,58.5,32.67,62.41,18.50971928,52.48,46.92,46.84,53.05,15.58,29.25,20.98,1.019780497,213.85,30.56,546.66,22,47.8,13.22,93.15,146.52,74.63,56.68,17.02,47.86,15,85.87,46.13,119.41,32.36,96.7,104.59,200.76,195.69,64.34,11.05,116.06,164.93,124.28,24.29,391.4,272.74,28.57,39.73,58.74,188.29,20.0846,92.92,454.53,246.33,297.17,28.27,90.33,113.43,111.66,111.47,90.03,107.09,26.75,382.3,18.1,130.56,131.61,98.71,95.65,126.78,97.2,113.27,124.1,125.05,134.72,120.44,97.34,108.46,114.55,119.22,118.72,111.98,123.12,116.59,97.76,296.03,40.29,82.6,34.58,296.81,75.6,48.15,31.25,63.09,48.28,355.08,303.17,284.03,375.25,101.06,105.82,100.16,100.99,104.91,64.81
1/24/2022,203.4,9246.837,2437.597,2033.511,2152.349,2100.58,2311.11,85.35,160.84,75.435373,1924.317079,18.47,2218.6,1222.16,95.918,1151.04,131.365292,1431.829,789.21,479.43,636.91,1503.89,860.2,2717.3,528.09,294.47,244.27,346.45,78,235.51,1336.66,994.11,1128.16,933.65,945.1,3464.64,3098.1,2268.91,12826.87,31.95518,108.95865,47.10182,2.38609,245.4059,153.91,30.32,301.79,75.93,77,8.32,23.5,120.23,145.93,24.84,74.64,90.15,111.79,20.66,75.6228,286.19,5.63,87.8,19.81,8.9,79.65,128.82,61.95,33.63,63.04,18.44404883,54.5,47.72,63.71,56.18,15.63,30.93,20.56,1.0321534,229.6,30.46,549.86,24.28,47.66,12.94,94.8,148.3,73.72,56.9,17.05,49.12,15.01,88,45.55,121.92,35.91,96.61,102.32,200.37,198.3,65.27,11.47,117.6,170.07,129.63,25.06,407.16,295.83,29.27,42.15,63.1,186.78,19.8808,93.56,466.82,245.1,312.19,28.67,90.51,114.25,113.87,112.26,92.11,107.59,27.12,383.71,18.3,129.15,130.2,99.53,96.6,125.32,98.05,113.02,125.95,125.22,135.73,118.95,98.19,107.9,114.41,118.84,119.59,112.3,122.96,118.82,98.52,296.37,41.9,81.92,35,309.05,75.61,48.32,32.55,69.24,52.92,349.42,308.71,284.11,379.1,101.88,105.64,100.92,101.74,105.46,64.86
1/25/2022,203.4,9134.334,2404.919,2004.033,2104.164,2091.44,2309.08,85.1,158.31,77.508918,1935.601558,18.67,2211.51,1210.45,95.948,1150.38,130.966031,1405.899,780.26,498.42,639.89,1493.93,852.17,2653.82,523.56,293.69,238.81,341.02,76.32,233.67,1319.02,995.93,1125.71,934.63,949.19,3380.54,3056.99,2187.32,12420.95,33.65537,106.83249,47.63536,2.36058,240.389,152.67,29.44,294.21,74.35,75.12,7.92,22.94,118.34,141.63,24.88,73.56,87.14,110.2,20.79,71.0969,276.32,5.61,87.69,19.19,8.66,77.33,136.1,59.42,31.64,62.52,18.23488494,53.24,45.08,62.27,54.8,15.22,31.58,19.84,1.013461407,231.67,30.87,550.73,24.16,47.21,12.5,91.31,152.16,73.61,56.11,17.31,48.48,14.29,84.19,45.09,121.93,36.95,96.14,103.92,195.68,195.99,63.61,11.22,114.63,165.45,122.38,24.08,398.56,285.64,27.82,41.2,62.11,185.72,19.9865,91.03,446.14,244.12,308.4,27.59,89.16,110.69,107.41,110.78,91.38,103.87,26.605,367.91,19.5,127.08,128.11,98,95.26,123.56,96.67,111.3,123.33,122.71,133.31,119.14,96.98,105.27,111.8,117.54,117.82,110.97,121.71,118.97,97.09,288.49,44.86,75.1,34.26,299.97,75.48,48.1,32.86,72.87,50.81,338.76,300.15,285.29,375.04,100.82,103.47,99.5,100.57,104.13,64
1/26/2022,203.4,9120.754,2399.215,1976.464,2104.798,2077.976,2297.5,84.81,158.48,79.093505,1911.77877,18.82,2234.47,1211.45,96.478,1148.69,130.343118,1401.346,775.02,497.56,641.59,1487.29,845.14,2672.96,518.23,288.81,236.93,338.6,75.31,229,1323.95,995.85,1124.87,935.81,949.82,3407.63,3050.79,2229.14,12318.52,33.37572,107.5719,47.94014,2.31369,236.4623,147.73,29.32,292.57,73.29,74,7.51,22.81,117.51,142.82,24.11,72.71,85.36,108.99,19.96,69.7001,265.19,5.77,90.35,18.12,8.58,76.12,134.26,59.15,31.64,62.03,18.11242473,53.08,44.38,60.26,52.94,14.49,30.53,19.79,1.010179315,229.32,30.48,539.16,23.45,46.67,12.59,91.06,144.9,73.78,55.33,17.26,46.99,13.23,86.12,44.85,120.3,36.05,95.49,103.65,195.27,193.84,62.33,10.94,113.48,167,120.75,23.63,378.66,281.23,27.67,39.73,60.6,181.67,18.3033,91.09,437.23,244.88,307.76,27.01,89.34,108.68,107.96,109.38,89.59,102.54,26.32,368.36,19.61,127.3,128.33,96.94,94.26,122.45,95.52,109.93,120.3,121.55,131.66,119.14,95.86,104.72,110.96,115.97,116.25,109.36,120.29,116.96,96.07,296.71,44.79,72.64,34.06,292.07,75.61,47.62,31.67,70.88,48.22,344.66,294.63,281.76,377.09,99.71,102.89,98.5,99.64,103.42,63.72
1/27/2022,203.4,9072.242,2384.527,1931.288,2084.527,2068.441,2303.38,84.44,156.51,78.423451,1873.536925,18.92,2203.51,1192.06,97.255,1142.92,130.486938,1369.52,779.49,503.75,635.68,1489.36,837.31,2654.5,520.1,283.75,237.62,341.25,74.57,221.41,1306.28,996.66,1127.9,934.2,951.46,3432.39,3037.97,2133.22,12374.41,32.00848,105.2033,45.91496,2.26656,239.2987,145.26,28.99,298.19,72.98,73.41,7.37,22.27,116.22,141.29,23.84,72.13,84.82,109.24,17.56,70.1527,256.99,5.27,86.74,17.83,8.26,73.85,132.52,59.77,30.65,64.01,18.21688983,50.99,45.4,59.77,52.9,13.22,29.06,18.6,0.98723711,224.48,30.02,526.96,23.33,46.09,11.45,88.83,141.68,73.65,54.62,16.99,44.81,12.32,79.24,45.32,120.25,36.36,94.51,104.83,196.37,186.6,61.41,10.77,109.78,161.2,121.2,22.86,366.91,266.15,28.27,40.05,59.53,178.79,18.2052,85.65,433.2,244.59,319.8,27.21,87.31,105.75,104.14,107.47,85.51,100.43,25.345,372.99,19.85,125.45,126.46,96.46,93.86,120.78,95,107.83,120.03,120.5,131.72,119.39,95.44,104.03,110.27,115.66,116.27,108.96,120.04,115.54,95.43,299.84,44.24,72.51,33.51,285.98,73.29,46.46,31.41,70.15,47.18,350.53,294.64,277.94,383.05,99.22,101.96,97.94,99.08,99.98,63.59
1/28/2022,203.4,9294.214,2443.466,1968.508,2156.399,2097.92,2305.06,84.68,160.6,78.613601,1864.96908,19.02,2201.56,1191.14,97.27,1146.05,130.790319,1401.074,788.58,500.72,643.77,1520.3,843.04,2769.57,523.05,293.34,244.55,345.28,76.35,228.87,1324.39,996.95,1128.88,937.38,949.12,3573.61,3218.51,2185,12755.44,33.05171,105.07865,51.00467,2.26262,249.1731,148.88,29.66,303.79,73.77,73.99,7.46,23.28,119.82,143.82,24.93,73.19,85.37,117.4,17.03,71.8694,266.7,5.39,89.65,18.63,8.58,75.38,134.5,58.77,31.83,65.99,18.42932556,52.09,43.47,60.16,54.65,13.59,30.44,18.89,1.00998324,230.29,30.5,531.3,23.08,46.45,12.65,90.92,142.62,72.28,55.61,17.06,45.91,12.63,81.9,45.93,120.86,36.49,95.4,106.11,199.5,188.16,63.15,10.8,113.41,166.81,123.6,23.55,391.92,270.32,26.89,40.9,63.34,187.4,19.0279,88.18,450.52,245.93,317.77,27.59,87.88,105.47,108.32,108.86,88.58,101.71,25.76,382.83,19.84,126.18,127.18,97.86,95.4,123.55,96.32,109.56,122.28,122.27,133.96,122.28,97.09,104.88,111.31,117.17,117.38,110.08,121.41,116.84,96.96,308.26,45.25,72.5,33.87,293.49,74.63,47.16,32.97,70.44,50.54,382.51,301.71,280.75,386.18,101.07,103.03,99.68,100.7,100.94,64.04
