Date,LD12TRUU Index,SPTR Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,GC1 Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BXPP29 FIGI,BBG0016S3JL1 FIGI,BBG00CTZ9MW1 FIGI,BBG008FDQZL8 FIGI,BBG001DCTG63 FIGI,BBG000QYVKN2 FIGI,BBG000N7KBZ3 FIGI,BBG00HY28K89 FIGI,BBG00JGMWFM9 FIGI,BBG00RRGSJR4 FIGI,BBG00XXPB3L3 FIGI,BBG00Z9CCRH5 FIGI,BBG00G5JGQ66 FIGI,BBG01103B471 FIGI,BBG00XP21PQ0 FIGI,BBG000BT1XR0 FIGI,BBG012QSDSK6 FIGI,BBG01HN2K357 FIGI,BBG018CYVVW5 FIGI,BBG01LDX2Y62 FIGI,BBG01LFP7VX8 FIGI,BBG01LG5S725 FIGI,BBG01LGJPD98 FIGI,BBG01LGV6385 FIGI,BBG01LK3NLL8 FIGI,BBG01LKV4T03 FIGI,BBG01LM0NQT3 FIGI,BBG01LMWGVP4 FIGI,BBG01LNSPRZ0 FIGI,BBG01LPQN9T1 FIGI,BBG01LQ91TF3 FIGI,BBG01LQSBQD8 FIGI,BBG01LR3YNV4 FIGI,BBG01LS5MNX9 FIGI,BBG01LT0X3V3 FIGI,BBG01LTHJFN4 FIGI,BBG01LTX3S76 FIGI,BBG01LV5FTG9 FIGI,BBG01LW2WJ41 FIGI,BBG000FKMP26 FIGI,BBG000BDCQ25 FIGI,BBG000MQQ963 FIGI,BBG000BK2F42 FIGI,BBG000BK6MB5 FIGI,BBG000BPH459 FIGI,BBG000CGC1X8 FIGI,BBG000DY28W5 FIGI,BBG000BJGGV8 FIGI,BBG000KMVDV1 FIGI,BBG000H9G7X2 FIGI,BBG000BD53V2 FIGI,BBG002293PJ4 FIGI,BBG000HT5G06 FIGI,BBG000F9XKN7 FIGI,BBG001KFKQM7 FIGI,BBG004S641N5 FIGI,BBG002BC7WC5 FIGI,BBG000G7CDN9 FIGI,BBG005CHLM96 FIGI,BBG00B8NWRF5 FIGI,BBG000BLJWF3 FIGI,BBG000V78V75 FIGI,BBG000BVMGF2 FIGI,BBG000BNGTQ7 FIGI,BBG000C3J3C9 FIGI,BBG000BLNNH6 FIGI,BBG000BMTX31 FIGI,BBG000BJW241 FIGI,BBG00Q741Z16 FIGI,BBG00RP5HYS8 FIGI,BBG00VSYYVB8 FIGI,BBG000C6W444 FIGI,BBG000BCQ4P6 FIGI,BBG000CYSFS7 FIGI,BBG000BGYMH7 FIGI,BBG000CC53X1 FIGI,BBG000Q5ZRM7 FIGI,BBG000BRNGM2 FIGI,BBG000BS9489 FIGI,BBG000FKJRC5 FIGI,BBG000C221G9 FIGI,BBG000BMQCP6 FIGI,BBG000BJ5HK0 FIGI,BBG000BD2167 FIGI,BBG000CHSS88 FIGI,BBG000BVWZF9 FIGI,BBG000BCVMH9 FIGI,BBG000CQCCK6 FIGI,BBG000DW34S2 FIGI,BBG000CVRFS4 FIGI,BBG000BP30Y0 FIGI,BBG000BGKJ70 FIGI,BBG000C2VBB0 FIGI,BBG000G9W6L0 FIGI,BBG000BXMFC3 FIGI,BBG000BT2TP0 FIGI,BBG000PWTD92 FIGI,BBG000BWB7V4 FIGI,BBG000F1ZSQ2 FIGI,BBG000K1T9L0 FIGI,BBG000BLV2Q3 FIGI,BBG000QFJJW0 FIGI,BBG000H9LNX1 FIGI,BBG000CS0D96 FIGI,BBG000PQ4W72 FIGI,BBG000BFRRX8 FIGI,BBG000BJSBJ0 FIGI,BBG000CS7CT9 FIGI,BBG000C496P7 FIGI,BBG000BH3JF8 FIGI,BBG000BSJK37 FIGI,BBG000BMY992 FIGI,BBG000C8H633 FIGI,BBG00D0Y81M1 FIGI,BBG00FN64XT9 FIGI,BBG001D8R5D0 FIGI,BBG000BW3299 FIGI,BBG000JCPGZ1 FIGI,BBG000MM2P62 FIGI
3/9/2022,203.43,8988.65,2362.39,2016.291,2056.436,2070.987,2253.78,82.21,156.09,96.897239,2086.403847,23.08,2057.53,1090.67,97.968,1148.48,129.400878,1324.232,760.07,568.11,613.18,1512.29,833.65,2616.32,515.42,288.35,225.49,354.46,71.76,242.42,1247.58,1004.88,1123.98,934.54,946.77,3254.58,3086.4,2195.41,12328.66,25.552,89.2929,46.00962,2.23133,24.5,39.9,23.9,25.4,57.34,23.4,10.78,17.62,12.55,45.88,12.02,0.907221976,11.93,41.12093139,17.76303923,92.63,118.3,114.8,108.71,112.14,89.3,108.38,106.26,125.68,112.07,99.85,89.01,125.93,101.5,105.86,88.33,107.54,96.87,104.01,87.79,86.24,10.59,88.44,91.98,71.2061,288.5,157.11,554.27,82.78,17.48,27.86,119.46,346.33,128.55,25.45,30.89,185.78,86.9,114.23,29.89,45.18,178.98,65.85,122.42,47.69,55.92,126.22,52.6,134.63,17.47,44.59,34.26,27.95,165.8,19.94,373.42,107.25,135.45,112.18,76.89,277.68,55.52,71.3,188,48.44,306.87,418.65,77.15,122.5,65.73,88.84,113.26,31.18,109.3,40.47,315.79,68.4,71.04,226.1,328.13,87.46,39.56,43.17,26.82,513.255,311.2,104.03,80.32,54,33.74,234.7338,17.5561,55.34,23.4,88.22,29.98,85.59,253.67,52.73,198.5
3/10/2022,203.43,8950.902,2352.031,2011.673,2040.389,2069.458,2243.5,81.52,155.33,94.508237,2099.206446,22.58,2053.78,1102.74,98.507,1145.08,128.889791,1339.588,753.27,585.53,608.28,1511.87,832.65,2570.38,516.35,289.38,223.8,357.03,71.36,239.45,1235.26,1005.04,1124,934.96,946.12,3216.61,3011.33,2150.55,12953.51,25.4423,85.10575,44.3996,2.21616,24.03,40.75,23.43,25.27,57.79,22.87,10.86,17.35,12.83,47.26,12.24,0.917742263,12.18,41.5977761,17.60412142,92.33,118.12,113.59,110.12,111.87,88.91,107.16,104.73,125.21,111.46,99.26,88.63,125.25,100.8,104.98,88,107.07,95.89,103.47,87.67,83.98,10.82,87.98,90.41,71.2685,285.59,154.71,541.34,82.65,17.63,28.93,120.93,340.74,129.63,25.13,32.33,195.62,84.5,112.52,29.82,44.64,179.83,66.52,122.91,48.08,54.71,124.35,52.54,135.53,17.22,43.81,34.2,27.65,163.65,20.24,370.97,107.6,135.29,113.29,76.94,273.36,54.65,73.27,184.19,47.39,309.74,408.13,77.79,124.76,64.87,90.86,111.31,31.29,106.82,40.885,321.25,68.3,75.06,228.95,324.59,85.99,39.84,42.83,26.91,490.69,303.21,105.95,80.16,54.46,33.23,233.8563,17.5033,57.09,23.88,88.86,30.11,83.23,259.65,54.26,195.21
3/11/2022,203.43,8835.398,2319.567,1979.668,2000.088,2052.485,2242.33,80.93,152.33,97.458833,2083.045789,23,2043.94,1085.66,99.124,1139.1,128.809857,1315.581,744.6,580.55,603.92,1499.91,826,2524.09,512.53,286.69,219.59,355.7,69.94,228.1,1226.41,1006.58,1126.25,933.18,945.64,3165.83,2951.5,2107.19,12809.41,26.31372,83.72462,45.13766,2.21431,22.78,39.05,22.85,25.27,57.51,23,10.92,16.8,12.48,46.9,11.86,0.901295237,10.88,40.85229479,17.4015012,91.33,117.5,112.23,108.27,110.72,87.99,105.62,103.16,124.79,110.13,97.77,87.73,123.49,99.06,103.44,87.02,105.01,93.96,101.73,86.47,83.48,10.73,84.61,89.34,72.0099,280.07,152.34,529.89,81.83,17.49,28.44,121.82,325.08,127.48,23.18,31.01,197,78.98,115.54,28.88,44.72,176.44,66.64,123.38,46.81,54.69,123.96,51.07,132.8,16.56,43.22,33.02,27.525,162.38,19.65,370.88,106.85,135.68,113.74,76.25,264.23,53.8,72.59,180.87,46.28,306.38,398.31,77.63,125.44,63.38,90.45,110.67,31.55,103.94,39.375,322.75,66.34,73.53,228.28,324.79,84.82,38.3,43.5,26.67,470.31,281.64,105.67,79.3,53.94,32.62,232.6951,17.5033,55.89,23.17,88.15,30.56,83.62,261.52,53.27,187.61
3/14/2022,203.43,8771.751,2299.139,1941.719,1965.766,2048.518,2221.48,79.97,150.58,91.825065,2057.65047,22.1,2058.05,1055.01,98.999,1130.81,127.723797,1292.555,748.81,563.77,611.45,1510.15,828.66,2476.22,511.85,284.6,215.61,355.32,68.48,217.22,1211.17,1006.83,1131.86,929.33,945.46,3136.23,2879.26,2039.25,12507.09,25.95628,87.17071,46.33645,2.20073,21.32,38.15,20.66,24.75,57.29,22.72,10.36,16.01,12.23,47.45,11.09,0.885520287,10.26,40.13727615,17.49989002,90.95,118.17,113.43,107.84,111.16,87.48,105.61,103.31,123.61,109.79,97.49,87.21,123.86,99.09,104.1,86.61,104.38,93.26,102.21,86.1,78.42,11,81.07,89.06,72.1425,276.44,141.29,541.06,81.75,17.27,29.41,122.17,325.85,116.53,21.19,31.14,194.97,72.41,115.14,27.84,44.35,170.97,66.51,125.88,46.42,54.3,123.94,53.59,134.07,14.95,42.91,31.34,27.63,165.93,19.44,375.59,106.23,132.59,112.86,79.55,250.38,54,68.87,181.51,45.43,298.56,391.52,76.56,120.56,59.17,89.33,110.9,31.34,101.51,39.3,320.26,63.47,71.65,226.13,328.59,83.61,37.7,43.93,26.36,470.82,275.94,106.98,79.28,53.95,35.77,236.5332,17.2768,55.42,22.18,88.31,30.5,83.99,257.66,50.91,186.63
3/15/2022,203.43,8959.741,2347.693,1968.969,2024.13,2073.215,2222.09,80.57,154.43,85.968443,2025.014337,21.46,2052.62,1026.77,99.097,1134.55,127.58008,1336.337,765.39,542.77,619.46,1539.28,841.52,2561.1,517.48,286.6,220.45,359.76,69.75,224.7,1228.81,1007.59,1132.91,930.56,943.71,3235.53,2961.65,2138.72,12993.7,26.39606,86.7494,45.41458,2.18519,23.23,40.11,21.2,25.54,57.06,22.5,10.69,16.35,12.91,47.65,11.57,0.915515025,11.33,41.49682389,17.88736906,92.63,119.42,115.58,109.19,112.49,89.1,108.26,106.47,124.04,111.64,99.79,88.82,126.37,101.29,106.15,88.19,106.81,94.89,104.36,87.6,82.74,11.08,82.26,92.6,72.0645,287.15,144.21,548.74,82.56,17.26,30,124.24,340.33,122.92,22.01,31.47,196.34,76.8,117.32,28.97,44.73,172.57,67.59,127.13,47.12,55.6,125.64,55.79,134.1,15.5,45.2,31.34,28.29,167.13,19.73,380.47,108.52,135.15,114.11,80.73,258.9,54.84,68.09,184.39,47.41,308.97,403.33,76.95,122.64,64.43,90.7,112.44,31.2,105.95,39.135,328.35,66.67,72.46,229.89,335,84.64,38.79,43.91,26.96,492.77,286.98,105.77,81.98,53.82,35.21,240.1142,17.4278,56.19,21.65,90.51,31.12,85.51,260.13,50.43,192.03
3/16/2022,203.43,9160.512,2404.143,2030.72,2091.184,2106.51,2225.32,81.7,159.81,84.720457,2003.501773,21.29,2107.99,1081,98.618,1147.51,127.21271,1381.121,766.42,540.44,637.31,1558.13,852.61,2646.17,525.68,289.84,226.9,359.15,72.75,237.26,1257.65,1006.03,1125.36,934.61,941.11,3332.48,3039.36,2247.35,13497.34,28.49171,94.10653,48.3955,2.2591,24.99,42.39,22.35,26.64,58.26,23.62,10.85,17.13,13.6,51.49,12.01,0.946196227,12.55,42.88748639,17.91144043,94.22,120.21,118.37,108.73,113.59,90.91,110.58,109.23,125.9,113.97,102.02,90.66,129.32,104.59,109.29,89.71,110.53,97.49,106.23,90.05,85.97,11.4,86.19,95.38,73.8983,294.39,150.45,562.81,83.58,17.52,31.32,123.27,352.59,127.51,23.86,31.01,199.63,81.24,119.78,29.84,44.75,175.08,67.97,126.49,48.75,55.81,127.04,59.34,132.23,17.11,46.88,33.49,28.955,170.1,21.23,379.1,109.35,136.07,114.35,84.06,270.88,56.83,68.06,189.36,49.71,323.4,415.07,79.43,126.03,71.81,94.05,117,31.53,109.74,41.3,337.56,68.53,74.97,235.62,344.68,86.51,40.36,45.19,27.89,498.66,305.46,107.76,82.51,63.11,36.25,246.3455,17.5033,54.99,21.59,92.45,32.76,87.1,264.15,50.14,203.63
3/17/2022,203.44,9274.169,2435.68,2065.019,2122.097,2131.63,2227.03,82.26,162.65,91.798323,2039.181147,22.5,2149.68,1120.93,97.974,1154.28,127.276596,1406.865,770.98,559.27,645.14,1583.16,864.05,2664.42,535.91,293.79,229.02,360.79,74.05,244.94,1254.39,1006.06,1122.03,936.71,942.53,3357.28,3060.41,2260.05,13862.98,28.88344,95.15837,49.58191,2.26934,25.58,44.63,23.48,26.6,57.98,23.98,11.09,17.59,13.9,51.96,12.74,0.963833259,13.59,43.68690618,18.01800885,95.31,121.87,120.9,109.26,114.92,92.01,112.56,110.9,127.61,116.39,104.17,91.79,132.39,106.08,110.89,90.78,112.37,98.55,107.56,90.99,90.26,11.43,89.56,95.2,74.546,295.22,152.83,574.84,84.28,17.63,32.2,124.86,363.8,130.05,24.52,31.25,199.1,85.5,121.11,31.03,44.98,178.77,68.32,130.92,48.73,56.17,127.96,60.22,133.29,18.01,47.12,34.76,29.385,171.08,21.01,383.08,109.15,138.22,114.47,84.74,272.39,56.95,69.24,195.64,50.51,322.78,423.79,79.91,128.93,75.36,93.74,116.56,31.74,110.73,41.13,346.77,71.04,75.53,238.78,346.44,87.81,40.76,44.91,27.25,511.22,309.84,110.47,82.69,62.53,36.87,249.4301,17.5033,55.66,23.07,93.71,32.61,88.1,263.56,52.68,207.84
3/18/2022,203.44,9382.431,2466.14,2086.143,2166.162,2140.184,2233.56,82.53,165.82,93.331564,2024.594579,22.7,2156.76,1122.98,98.233,1159.3,127.58008,1437.522,773.04,559.78,647.02,1593.48,867.47,2722.71,539.1,294.41,232.31,357.55,75.55,252.14,1269.89,1004.64,1122.63,938.36,941.82,3424.82,3120.38,2325.7,14213.24,29.34179,96.33648,48.91396,2.28098,25.21,48.27,23.94,26.55,57.48,24.48,10.85,17.56,14.34,50.92,12.42,0.984836153,14.17,44.6388877,18.0661516,96.23,123.22,123.23,110,116.01,92.89,114.31,113.23,128.35,118.12,105.76,92.79,135.15,107.9,112.79,91.64,114.29,99.83,108.98,91.72,90.57,11.36,92.16,95.82,74.5928,300.43,153.99,588.22,85.38,17.27,32.27,123.42,374.5,133.31,25.61,31.93,197.2,90.43,122.54,30.8,44.66,179.64,68.55,133.5,50.39,55.97,128.76,61.33,131.77,18.44,47.78,35.76,30.275,171.12,20.64,385.73,109.46,138.99,112.73,84.22,276.87,57.22,70.7,193.26,51.48,328.3,435.99,79.97,135.48,80.53,94.25,117.72,31.61,111.42,41.48,346.24,72.64,77.05,242.36,350.09,87.02,41.22,44.99,27.93,516.78,319.33,108.8,82.37,62.43,37.09,258.9943,17.5259,55.82,23.08,94.42,33.2,88.07,261.32,52.81,216.49
3/21/2022,203.44,9378.844,2463.364,2065.936,2156.612,2142.613,2213.34,81.58,165.61,99.945892,2024.804458,23.82,2157.62,1115.26,98.498,1154.79,126.174591,1426.617,773.95,581,646.21,1591.59,868.94,2717.9,543.7,292.87,230.77,359.97,75.42,246.55,1259.13,1004.18,1122.81,936.75,942.71,3395.89,3139.71,2329.24,14222.11,30.56041,94.97265,47.8966,2.28098,24.56,45.87,23.11,26.3,58.39,24.36,10.89,17.59,14.2,50.89,11.52,0.977365215,14.17,44.3002584,18.08741855,95.69,122.34,121.7,109.97,115.35,92.26,113.24,111.84,128.2,117.44,105,92.16,134.04,106.61,111.23,91.2,113.3,98.72,108.13,91.09,88.79,11.63,89.02,94.97,73.9919,299.16,155.59,579.98,85.43,17.01,31.63,124.52,369.83,135.7,24.57,32.05,188.62,86.68,124.3,31.36,45.23,176.74,68.4,134.53,49.31,56,128.1,60.04,131.99,18.13,47.48,35.17,31.12,170.77,19.67,382.57,109.16,137.18,115.24,83.79,273.97,56.85,71.83,194.18,51.37,319.79,435.56,80.42,130.68,78.53,92.45,115.76,31.71,110.67,41.215,347.8,67.54,76.16,245,345.58,87.34,40.21,44.34,26.91,514.78,312.04,108.2,81.8,62.05,36.4,256.406,17.4806,55.68,25.05,94.43,32.99,87.66,264.51,54.99,211.49
3/22/2022,203.45,9484.856,2492.708,2088.343,2194.286,2155.877,2205.71,82,168.62,99.624981,2016.409311,23.65,2170.43,1131.41,98.493,1162.06,125.647558,1461.51,779.02,577.16,656.55,1591.84,873.54,2756.55,546.51,293.03,235.4,360.3,76.95,255.81,1277.97,1004.31,1120.02,939.98,942.27,3451.77,3194.58,2340.25,14520.54,30.20428,94.70331,48.33586,2.3135,25.13,46.68,23.78,26.5,57.95,24.49,10.84,17.9,14.48,51.66,11.41,1.001270162,14.24,45.383779,18.2059058,96.34,123.18,122.76,110.76,116.21,92.95,113.88,112.55,128.65,117.96,105.49,92.83,134.56,107.64,112.42,91.81,114.16,99.5,108.88,91.78,89.2,11.37,92.21,96.93,74.0544,304.06,157.61,589.45,84.89,17.15,32.07,126.09,373.66,140.88,26.18,32.11,191.21,90.41,124.62,31.9,45.02,177.54,68.5,137.04,49.94,56.17,129.06,59.72,128.49,18.44,47.49,35.96,29.885,170.85,19.98,384,107.84,138.42,114.16,84.13,281.9,57.38,71.66,192.24,51.76,322.92,441.33,81.86,131.92,81.3,94.04,117.61,32.02,111.59,41.395,356.36,68.65,76.95,248.54,349.53,87.23,40.32,44.98,27.28,523.66,323.91,107.44,82.85,61.89,37.43,260.51,17.5184,56.57,24.66,95.48,33.46,88.69,265.86,54,216.65
