TradeDate,FundName,Description,Ticker,ISIN,CUSIP,BBYellowKey,Quantity,MarketPrice,TotalPL,Type,MarketValue,NetAssetValue,CalcSID,SID,SecID,UnderlierTicker,NAME,UnderlierName,SECURITY_TYP,SECURITY_TYP2,Country,CRNCY,FXRate,Sector,Industry,MarketCap,AvgVolume,PX_POS_MULT_FACTOR,UndlPrice,Strike,MtyYears,Expiry,FinRt,PutCall,VaRTicker,Proxy,Price,IVOL_TM,Delta,Gamma$,Gamma%,Vega,Theta,USD Mkt Cap,MarketCap,DaysLiquid,VaRExposure,BetaExposure,NotionalExposure,Equity,Size(L-S),Valuation(G-V),BondAgg,BondHY,Momentum,Oil,Gold,Commodity,IntlEquity,EMEquity,DollarIndex,Volatility,10YRRates,ConsDisc,ConsStap,Energy,Financials,HealthCare,Industrials,Tech,Materials,RealEstate,Telecom,Utilities,Crowdedness,Short Interest,Cyclicality,Leverage,Profitability,EarningsVariability,DividendYield,Software,Hardware,Semiconductors,Internet,NotionalMV,Volatility,Correlation,Client
4/4/2024,"Dipsea Capital Fund, LP",AMD 04/05/2024 PUT 162.5,AMD   240405P00162500,US0079031078,007903107,,-7,0.97,-92.31,OPTION PUTS,-679,,AMD   240405P00162500 Equity,AMD   240405P00162500 Equity,290072,BBG000BBQCY0,April 24 Puts on AMD US,ADVANCED MICRO DEVICES,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.67946E+11,72909853.77,100,165.83,162.5,0.001369,2024-04-05,0.0025,Put,BBG000BBQCY0 FIGI,S5INFT Index,0.97,0.930548263,-0.272097735,0.058134701,0.096404775,0.020365918,-1.897138988,2.67946E+11,Mega,4.80045E-05,31585.37719,74916.83379,116081,2.371883462,0.493747507,1.324657379,-0.589880133,-1.408231933,2.748214293,-0.098294798,-0.430230629,-0.165510577,-0.4213129,-0.392176834,0.755443697,-1.961043855,-0.60117457,0.008712377,-1.633482645,-0.851550496,-1.470608541,-1.690053105,-1.99553882,2.195995894,-1.157451057,-0.530766673,0.572124279,-0.835546964,-0.922025958,-0.248817828,2.062812361,-3.40317822,1.326681529,0.431175957,-2.049993842,0.400458104,-0.143963147,1.260835134,-17.88892002,-679,0.030369118,0.554009869,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",AMD 04/05/2024 PUT 165,AMD   240405P00165000,US0079031078,007903107,,7,1.875,205.22,OPTION PUTS,1312.5,,AMD   240405P00165000 Equity,AMD   240405P00165000 Equity,290073,BBG000BBQCY0,April 24 Puts on AMD US,ADVANCED MICRO DEVICES,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.67946E+11,72909853.77,100,165.83,165,0.001369,2024-04-05,0.0025,Put,BBG000BBQCY0 FIGI,S5INFT Index,1.875,0.928144469,-0.435108583,0.069124683,0.114629463,0.024153406,-2.243821343,2.67946E+11,Mega,4.80045E-05,-50507.83947,-119798.7091,-116081,2.371883462,0.493747507,1.324657379,-0.589880133,-1.408231933,2.748214293,-0.098294798,-0.430230629,-0.165510577,-0.4213129,-0.392176834,0.755443697,-1.961043855,-0.60117457,0.008712377,-1.633482645,-0.851550496,-1.470608541,-1.690053105,-1.99553882,2.195995894,-1.157451057,-0.530766673,0.572124279,-0.835546964,-0.922025958,-0.248817828,2.062812361,-3.40317822,1.326681529,0.431175957,-2.049993842,0.400458104,-0.143963147,1.260835134,-17.88892002,1312.5,0.030369118,0.554009869,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",INTC 04/05/2024 PUT 38,INTC  240405P00038000,US4581401001,458140100,,-62,0.015,-42.45,OPTION PUTS,-93,,INTC  240405P00038000 Equity,INTC  240405P00038000 Equity,290079,BBG000C0G1D1,April 24 Puts on INTC US,INTEL CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,1.69126E+11,46242427.23,100,39.73,38,0.001369,2024-04-05,0.0025,Put,BBG000C0G1D1 FIGI,S5INFT Index,0.015,0.679513287,-0.037255222,0.081414238,0.032345877,0.001195471,-0.081535057,1.69126E+11,Mega,0.00067038,9176.929822,13076.27798,246326,1.424907702,0.044277139,0.271763529,0.4355982,0.109309663,0.480354685,-0.032189146,0.209421026,-0.046001971,-0.054311797,0.491749718,0.060275419,0.428475357,0.518255785,-0.376976778,-0.571897159,-0.563701729,-1.084470218,-0.9761118,-0.261550948,1.31593952,0.150617618,0.040022299,-0.093076718,-0.092174127,-0.420993893,-0.018872863,1.047771357,-0.837867959,-1.25185289,0.046416883,-0.593748847,0.391574492,0.403813993,0.567220429,1.738201102,-93,0.025466015,0.395572431,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",INTC 04/05/2024 PUT 39.5,INTC  240405P00039500,US4581401001,458140100,,62,0.27,453.73,OPTION PUTS,1674,,INTC  240405P00039500 Equity,INTC  240405P00039500 Equity,290172,BBG000C0G1D1,April 24 Puts on INTC US,INTEL CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,1.69126E+11,46242427.23,100,39.73,39.5,0.001369,2024-04-05,0.0025,Put,BBG000C0G1D1 FIGI,S5INFT Index,0.27,0.639350383,-0.398433736,0.410642072,0.163148095,0.005673394,-0.363117604,1.69126E+11,Mega,0.00067038,-98144.58845,-139846.98,-246326,1.424907702,0.044277139,0.271763529,0.4355982,0.109309663,0.480354685,-0.032189146,0.209421026,-0.046001971,-0.054311797,0.491749718,0.060275419,0.428475357,0.518255785,-0.376976778,-0.571897159,-0.563701729,-1.084470218,-0.9761118,-0.261550948,1.31593952,0.150617618,0.040022299,-0.093076718,-0.092174127,-0.420993893,-0.018872863,1.047771357,-0.837867959,-1.25185289,0.046416883,-0.593748847,0.391574492,0.403813993,0.567220429,1.738201102,1674,0.025466015,0.395572431,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1000,NVDA  240405C01000000,US67066G1040,67066G104,,-674,0.025,3086.09,OPTION CALLS,-1685,,NVDA  240405C01000000 Equity,NVDA  240405C01000000 Equity,289933,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1000,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.025,1.409426041,0.001943308,0.000137879,0.001184452,0.001963277,-0.276895079,2.14763E+12,Mega,0.005880487,-112517.4963,-264410.8117,-57899970,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,-1685,0.02681814,0.620294423,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1010,NVDA  240405C01010000,US67066G1040,67066G104,,19,0.025,-47.5,OPTION CALLS,47.5,,NVDA  240405C01010000 Equity,NVDA  240405C01010000 Equity,289736,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1010,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.025,1.492531105,0.001844193,0.000124153,0.001066535,0.001872062,-0.279597883,2.14763E+12,Mega,0.00016577,3010.082017,7073.550831,1632195,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,47.5,0.02681814,0.620294423,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1030,NVDA  240405C01030000,US67066G1040,67066G104,,-37,0.02,74,OPTION CALLS,-74,,NVDA  240405C01030000 Equity,NVDA  240405C01030000 Equity,289737,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1030,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.02,1.623350538,0.001388179,8.81145E-05,0.000756948,0.001445107,-0.234747499,2.14763E+12,Mega,0.000322816,-4412.307642,-10368.71494,-3178485,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,-74,0.02681814,0.620294423,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1040,NVDA  240405C01040000,US67066G1040,67066G104,,-3,0.03,4.5,OPTION CALLS,-9,,NVDA  240405C01040000 Equity,NVDA  240405C01040000 Equity,289738,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1040,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.03,1.762665781,0.001876367,0.000106792,0.000917395,0.001901728,-0.335433275,2.14763E+12,Mega,2.61743E-05,-483.567835,-1136.361615,-257715,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,-9,0.02681814,0.620294423,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1050,NVDA  240405C01050000,US67066G1040,67066G104,,-379,0.01,947.5,OPTION CALLS,-379,,NVDA  240405C01050000 Equity,NVDA  240405C01050000 Equity,289491,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1050,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.01,1.682436082,0.000703519,4.55616E-05,0.000391397,0.000774422,-0.130377775,2.14763E+12,Mega,0.003306683,-22905.15448,-53826.03319,-32557995,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,-379,0.02681814,0.620294423,FirmLevel
4/4/2024,"Dipsea Capital Fund, LP",NVDA 04/05/2024 CALL 1060,NVDA  240405C01060000,US67066G1040,67066G104,,23,0.01,-57.5,OPTION CALLS,23,,NVDA  240405C01060000 Equity,NVDA  240405C01060000 Equity,289492,BBG000BBJQV0,April 24 Calls on NVDA US,NVIDIA CORP,Equity Option,Option,UNITED STATES,USD,1,Information Technology,Semiconductors & Semiconductor,2.14763E+12,57308177.13,100,859.05,1060,0.001369,2024-04-05,0.0025,Call,BBG000BBJQV0 FIGI,S5INFT Index,0.01,1.755046798,0.00067665,4.21359E-05,0.000361968,0.000747104,-0.131206762,2.14763E+12,Mega,0.000200669,1336.934493,3141.73303,1975815,2.349952856,0.953466527,1.88871354,-0.57079537,-1.324043992,2.887064309,-0.032277799,-0.539180917,-0.05885665,-0.108044377,-0.13160026,0.682411405,-2.74619585,-0.532414226,-0.504615968,-1.399802021,-0.728769386,-1.885283367,-1.09738092,-2.046730804,2.556732778,-1.531162711,-0.96738098,0.24990652,-1.010706878,-1.022911202,-0.402710412,1.697748635,-5.338188938,4.496000972,-1.679558348,-1.042234654,0.599562431,-0.311446957,1.404230872,-5.026498167,23,0.02681814,0.620294423,FirmLevel
