Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BBJQV0 FIGI,BBG011WXCRR6 FIGI,BBG000H4FSM0 FIGI,BBG001M8HHB7 FIGI,BBG000N9MNX3 FIGI,BBG0024QY1Y6 FIGI,BBG000JW9B77 FIGI,BBG00BLYKS03 FIGI,BBG00KHY5S69 FIGI,BBG00LPWLFD4 FIGI,BBG000Q8RVM1 FIGI,BBG000BLZRJ2 FIGI,BBG000KKFC45 FIGI,BBG000BNGBW9 FIGI,BBG000BB6WG8 FIGI,BBG000D25424 FIGI,BBG00YC53854 FIGI
3/9/2022,203.43,4277.88,2362.39,2016.291,2056.436,2070.987,2253.78,82.21,156.09,96.897239,1991.83,23.08,2057.53,1090.67,97.968,1148.48,129.400878,1324.232,760.07,568.11,613.18,1512.29,833.65,2616.32,515.42,288.35,225.49,354.46,71.76,242.42,1247.58,1004.88,1123.98,934.54,946.77,3254.58,3086.4,2195.41,12328.66,230.14,10.06,4277.88,23.81,286.3233,207.5,32.45,169.79,597.02,11.46,31.79,87.4,13742.2,4.91,81.78,7.66,14.74
3/10/2022,203.43,4259.52,2352.031,2011.673,2040.389,2069.458,2243.5,81.52,155.33,94.508237,1996.98,22.58,2053.78,1102.74,98.507,1145.08,128.889791,1339.588,753.27,585.53,608.28,1511.87,832.65,2570.38,516.35,289.38,223.8,357.03,71.36,239.45,1235.26,1005.04,1124,934.96,946.12,3216.61,3011.33,2150.55,12953.51,226.58,10.07,4259.52,24.02,279.4333,193.7,30.23,191.02,587.73,11.45,30.35,85.86,13591,4.85,84.31,7.79,14.26
3/11/2022,203.43,4204.31,2319.567,1979.668,2000.088,2052.485,2242.33,80.93,152.33,97.458833,1988.46,23,2043.94,1085.66,99.124,1139.1,128.809857,1315.581,744.6,580.55,603.92,1499.91,826,2524.09,512.53,286.69,219.59,355.7,69.94,228.1,1226.41,1006.58,1126.25,933.18,945.64,3165.83,2951.5,2107.19,12809.41,221,10.06,4204.31,23.55,265.1167,199.2,30.75,190.54,577.85,11.03,29.07,85.18,13301.83,4.81,83.6,7.69,13.92
3/14/2022,203.43,4173.11,2299.139,1941.719,1965.766,2048.518,2221.48,79.97,150.58,91.825065,1950.88,22.1,2058.05,1055.01,98.999,1130.81,127.723797,1292.555,748.81,563.77,611.45,1510.15,828.66,2476.22,511.85,284.6,215.61,355.32,68.48,217.22,1211.17,1006.83,1131.86,929.33,945.46,3136.23,2879.26,2039.25,12507.09,213.3,10.06,4173.11,23.73,255.4567,208.8,31.77,183.12,567.8,10.3,27.12,84.72,13046.64,5.02,82.57,7.55,12.67
3/15/2022,203.43,4262.45,2347.693,1968.969,2024.13,2073.215,2222.09,80.57,154.43,85.968443,1917.94,21.46,2052.62,1026.77,99.097,1134.55,127.58008,1336.337,765.39,542.77,619.46,1539.28,841.52,2561.1,517.48,286.6,220.45,359.76,69.75,224.7,1228.81,1007.59,1132.91,930.56,943.71,3235.53,2961.65,2138.72,12993.7,229.73,10.06,4262.45,24.08,267.2967,199.7,29.83,188.64,592.76,10.65,27.07,86.33,13458.56,5.1,82.81,7.9,12.92
3/16/2022,203.43,4357.86,2404.143,2030.72,2091.184,2106.51,2225.32,81.7,159.81,84.720457,1927.29,21.29,2107.99,1081,98.618,1147.51,127.21271,1381.121,766.42,540.44,637.31,1558.13,852.61,2646.17,525.68,289.84,226.9,359.15,72.75,237.26,1257.65,1006.03,1125.36,934.61,941.11,3332.48,3039.36,2247.35,13497.34,244.96,10.06,4357.86,25.46,280.0767,170.5,26.67,189.66,607.12,11.53,32.82,91.76,13956.79,5.26,81.45,7.7,13.93
3/17/2022,203.44,4411.67,2435.68,2065.019,2122.097,2131.63,2227.03,82.26,162.65,91.798323,1942.89,22.5,2149.68,1120.93,97.974,1154.28,127.276596,1406.865,770.98,559.27,645.14,1583.16,864.05,2664.42,535.91,293.79,229.02,360.79,74.05,244.94,1254.39,1006.06,1122.03,936.71,942.53,3357.28,3060.41,2260.05,13862.98,247.66,10.06,4411.67,24.92,290.5333,166.2,25.67,204.13,602.67,12.06,31.61,93.86,14118.6,5.32,83.78,7.9,14.52
3/18/2022,203.44,4463.12,2466.14,2086.143,2166.162,2140.184,2233.56,82.53,165.82,93.331564,1921.62,22.7,2156.76,1122.98,98.233,1159.3,127.58008,1437.522,773.04,559.78,647.02,1593.48,867.47,2722.71,539.1,294.41,232.31,357.55,75.55,252.14,1269.89,1004.64,1122.63,938.36,941.82,3424.82,3120.38,2325.7,14213.24,264.53,10.07,4463.12,25.38,301.7967,153.3,23.87,208.06,610.41,12.49,33.17,94.82,14420.08,5.33,83.98,7.84,15.47
3/21/2022,203.44,4461.18,2463.364,2065.936,2156.612,2142.613,2213.34,81.58,165.61,99.945892,1935.91,23.82,2157.62,1115.26,98.498,1154.79,126.174591,1426.617,773.95,581,646.21,1591.59,868.94,2717.9,543.7,292.87,230.77,359.97,75.42,246.55,1259.13,1004.18,1122.81,936.75,942.71,3395.89,3139.71,2329.24,14222.11,267.34,10.07,4461.18,24.93,307.0533,150.9,23.53,204.13,601.29,12.17,31.78,92.61,14376.09,5.3,87.16,7.87,15.28
3/22/2022,203.45,4511.61,2492.708,2088.343,2194.286,2155.877,2205.71,82,168.62,99.624981,1921.69,23.65,2170.43,1131.41,98.493,1162.06,125.647558,1461.51,779.02,577.16,656.55,1591.84,873.54,2756.55,546.51,293.03,235.4,360.3,76.95,255.81,1277.97,1004.31,1120.02,939.98,942.27,3451.77,3194.58,2340.25,14520.54,265.24,10.07,4511.61,25.91,331.3267,147.2,22.94,217.06,611.34,12.52,33.18,94.22,14654.33,5.37,87.56,7.75,15.16
