Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BBQCY0 FIGI,BBG000C0G1D1 FIGI,BBG000BBJQV0 FIGI,BBG000H4FSM0 FIGI,BBG000N9MNX3 FIGI,BBG000JW9B77 FIGI,BBG00JQ5JWB5 FIGI
4/6/2022,203.46,4481.15,2470.68,2016.937,2163.017,2141.978,2184.91,80.86,163.81,87.295594,1925.35,22.42,2141.33,1142.5,99.599,1148.18,124.064324,1426.107,810.46,581.57,624.39,1624.87,844.33,2709.72,548.87,312.53,234.17,390.76,73.74,248.4,1215.21,1002.77,1125.72,929.2,950.03,3415.44,3215.93,2187.32,13959.62,103.67,47.54,244.07,4481.15,348.5867,22.1,97.52
4/7/2022,203.46,4500.21,2479.62,2009.799,2169.394,2149.347,2180.82,80.73,165.1,87.114163,1931.86,22.36,2126.57,1126.06,99.751,1145.9,123.91979,1431.667,820,589.46,623.78,1655.01,846.93,2716,552.33,309.84,232.46,389.78,73.63,244.54,1198.93,1002.76,1129.83,928.18,950.26,3422.71,3228.77,2187.65,13873.63,103.72,47.56,242.08,4500.21,352.42,21.55,96.2
4/8/2022,203.46,4488.28,2472.204,1994.562,2145.553,2159.107,2169.28,80.24,164.28,89.13712,1947.54,22.62,2139.56,1127.93,99.796,1143.63,123.486085,1417.791,823.24,605.71,630.05,1664.59,841.81,2677.04,555.39,310.87,230.73,390.94,73.37,240.9,1180.83,1003.6,1131.25,924.61,950.63,3387.82,3192.05,2124.99,13590.45,101,47.02,231.19,4488.28,341.83,21.16,98.68
4/11/2022,203.46,4412.53,2433.119,1980.324,2099.209,2139.588,2159.42,79.69,160.79,85.535712,1953.52,22.26,2126.86,1111.76,99.932,1143.43,123.100593,1390.934,819.38,586.88,627.04,1631.84,839.33,2607.31,552.87,306.67,226.86,385.53,73.45,239.75,1182.16,1004.57,1128.05,923.1,951.83,3297.21,3114.17,2067.58,13307.5,97.37,46.57,219.17,4412.53,325.31,24.37,104.4
4/12/2022,203.47,4397.45,2424.946,1986.937,2092.302,2133.938,2165.82,80.3,159.94,91.259865,1966.76,23.11,2113.28,1110.4,100.292,1143.35,123.871577,1393.725,819.22,597,620.35,1616.38,838.15,2598.1,553.05,305.61,225.02,387.1,73.06,239.79,1180.06,1003.1,1126.91,923.5,951.74,3266.09,3136.48,2053.92,13269.71,95.1,46.5,215.04,4397.45,328.9833,24.26,102.96
4/13/2022,203.47,4446.59,2454.765,2025.102,2128.583,2151.362,2167.72,80.78,162.16,94.570983,1977.8,23.76,2113.9,1119.32,99.875,1145.78,124.176785,1428.729,824.86,605.12,619.85,1623.31,846.25,2639.45,561.14,306.87,227.96,386.45,74.79,247.77,1189.54,1003.58,1123.73,927.21,950.06,3312.32,3182.33,2099.45,13683.88,97.74,47.01,222.03,4446.59,340.79,21.82,98.36
4/14/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.020304,1973.71,24.06,2118.51,1117.36,100.321,1141.35,123.293339,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,93.06,45.67,212.58,4392.59,328.3333,22.7,99.96
4/15/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.020304,1978.24,24.06,2115.99,1112.9,100.5,1141.35,123.293339,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,93.06,45.67,212.58,4392.59,328.3333,22.7,99.96
4/18/2022,203.47,4391.69,2421.46,1990.134,2083.473,2137.458,2147.5,80.11,159.27,98.16332,1978.91,24.45,2107.2,1106.68,100.781,1139.15,122.988132,1411.012,817.81,616.8,617.14,1597.73,842.21,2583.12,559.69,304.24,223.46,384.59,72.64,235.55,1180.23,1004.87,1126.06,923.96,951.05,3244.32,3092.34,2074.03,13437.37,93.89,46.64,217.83,4391.69,334.7633,22.17,101.24
4/19/2022,203.48,4462.21,2463.146,2030.765,2128.603,2165.798,2134.49,80.04,162.29,93.03789,1950.09,23.64,2094.8,1096,100.961,1144.13,122.442069,1452.086,829.84,610.86,625.28,1612.58,857.43,2630.64,564.89,310.69,228.08,386.94,74.32,241.78,1195.36,1005.58,1124.06,924.65,949.3,3308.87,3137.76,2117.08,13899.1,96.93,47.93,221.98,4462.21,342.7167,21.37,98.92
4/20/2022,203.48,4459.45,2460.211,2038.185,2109.068,2181.465,2146.14,80.29,161.9,93.21025,1957.77,23.72,2127.03,1095.63,100.39,1137.67,122.843598,1432.403,841.99,613.39,629.57,1634.24,862.09,2627.16,568.78,316.44,218.8,390.02,73.38,235.02,1173.8,1005.23,1125.75,923.43,950.63,3310.78,3145.38,2092.52,13538.28,94.02,48.11,214.82,4459.45,325.7333,20.32,97.56
4/21/2022,203.48,4393.66,2420.681,1991.462,2067.537,2152.29,2135.76,79.74,158.17,94.669653,1951.62,23.76,2126.64,1086.93,100.578,1129.53,122.072613,1414.749,841.1,594.35,619.9,1616.16,853.46,2581.78,559.25,314.44,213.52,383.81,71.26,225.53,1167.84,1004.86,1130.14,921.56,953.7,3251.25,3125.6,2023.25,13047.38,89.85,47.5,201.83,4393.66,336.26,22.68,99.44
4/22/2022,203.48,4271.78,2354.334,1940.665,2008.449,2096.198,2131.63,79.26,153.24,93.100794,1931.6,23.35,2081.96,1075.6,101.22,1126.86,122.265359,1381.158,827.69,579.9,601.3,1557.49,832.24,2509.65,538.4,308.86,206.48,377.35,69.78,219.05,1167.74,1004.17,1130.3,921.19,954.45,3153.92,3038.37,1976.26,12698.3,88.14,46.54,195.15,4271.78,335.0167,28.21,104.6
4/25/2022,203.49,4296.12,2369.303,1954.203,2033.772,2097.123,2142.81,79.93,154.39,89.880986,1897.83,23.08,2039.91,1046.04,101.752,1131.92,122.956059,1391.876,831.07,560.53,602.29,1567.84,832.25,2545.76,536.83,307.38,209.63,374.63,70.78,224.01,1179.91,1002.72,1129.06,921.86,953.57,3210.72,3061.43,2009.62,12851.5,90.69,47.06,199.02,4296.12,332.6733,27.02,99.2
4/26/2022,203.5,4175.2,2301.411,1890.475,1957.531,2054.018,2152.19,79.46,148.63,92.763307,1905.51,23.43,2019.97,1049.39,102.303,1127.41,123.4058,1322.469,818.77,560.78,586.94,1538.04,814,2451.28,528.52,302.81,203,370.73,68.03,214.07,1156.9,1002.53,1131.4,919.07,955.27,3096.21,2955.22,1920.3,12278.55,85.16,45.52,187.88,4175.2,292.14,33.52,105.4
4/27/2022,203.5,4183.96,2305.281,1884.038,1962.878,2054.2,2144.85,79.07,148.57,93.055188,1886.1,23.6,2002.9,1043.74,102.954,1125.97,123.148805,1321.527,820.98,569.08,586.34,1536.24,816.88,2484.58,536.34,300.82,197.69,369.02,67.61,210.93,1156.57,1002.43,1133.42,917.54,953.93,3196.89,2945.58,1912.14,12166.06,84.91,45.22,184.15,4183.96,293.8367,31.6,108.8
4/28/2022,203.51,4287.5,2361.688,1917.944,2027.219,2086.604,2142.21,79.51,152.6,96.101692,1894.45,23.89,2012.6,1053.82,103.623,1130.36,122.699064,1352.182,832.69,586.92,593.95,1557,826.23,2584.89,544.71,306.38,205.37,373.1,68.82,215.76,1172.07,1001.6,1134.17,917.85,951.39,3302.85,3068.14,2019.77,12726.77,89.64,46.84,197.82,4287.5,292.5033,29.99,104.16
4/29/2022,203.51,4131.93,2276.45,1864.103,1941.85,2025.443,2131.31,78.53,146.93,95.490567,1896.93,23.68,2033.7,1076.19,102.959,1126.61,122.490281,1272.147,810.5,572.41,573.7,1518.45,804.56,2478,533.97,291.38,198.03,361.88,67.01,207.99,1154.19,1001.06,1134.18,916.35,951.28,3163.23,2960.06,1920.86,10982.79,85.52,43.59,185.47,4131.93,290.2533,33.4,110.84
5/2/2022,203.52,4155.38,2290.895,1882.913,1967.479,2025.87,2118.67,78.23,148.89,95.928388,1863.02,24.06,2006.33,1072.56,103.744,1134.22,121.655047,1289.459,800.05,580.24,573.82,1508.12,805.92,2516.69,532.21,283.96,202.83,358.1,68.09,215.87,1172.42,1000.06,1131.04,920.86,951.92,3206.48,2972.47,1995.87,11013.93,89.84,44.96,195.33,4155.38,300.98,32.34,110
5/3/2022,203.51,4175.48,2301.066,1898.857,1967.894,2044.144,2122.48,78.64,150.04,93.410918,1868.12,23.56,2016.51,1069.24,103.465,1135.12,121.831654,1285.708,798.13,596.87,581.06,1513.2,811.56,2521.23,538.18,287.5,203.92,359.43,67.99,217.3,1170.23,1002.9,1133.14,921.66,953.3,3191.79,2999,2007.75,10997.23,91.13,45.06,196.02,4175.48,303.0833,29.25,108.2
5/4/2022,203.51,4300.17,2368.744,1949.923,2031.268,2098.166,2133.1,79.44,154.97,98.336403,1881.22,24.43,2004.93,1063.84,102.587,1140.82,122.490281,1322.387,815.41,621.43,598.6,1546.47,834.85,2609.8,555.64,290.63,211.42,367.4,68.8,226.49,1178.44,1002.26,1134.32,924.23,953.26,3288.8,3115.94,2088.68,11156.19,99.42,46.54,203.34,4300.17,317.54,25.42,99.4
5/5/2022,203.53,4146.87,2281.849,1871.148,1932.327,2044.704,2116.12,78.03,148.32,98.74686,1877.18,24.33,1993.23,1058.72,103.752,1133.88,121.365876,1245.494,799.96,612.77,581.15,1516.14,812.62,2481.2,538.35,283.27,202.78,363.46,65.99,211.06,1148.04,1002.78,1136.89,920.14,956.28,3135.94,2953.35,1981.54,10287.48,93.87,44.6,188.44,4146.87,291.0933,31.2,108
5/6/2022,203.53,4123.34,2265.145,1839.565,1908.611,2037.044,2107.59,77.59,146.65,100.124172,1883.81,24.37,1972.82,1031.5,103.66,1130.9,121.092845,1229.224,799.62,630.62,576.98,1511.65,807.37,2461.48,531,280.38,200.13,366.37,63.93,201.91,1132.25,1003.87,1139.57,919.6,958.31,3092.28,2956.15,1966.09,10147.25,95.34,44.3,186.75,4123.34,288.55,30.19,108.28
5/9/2022,203.54,3991.24,2188.078,1762.08,1829.53,1979.996,2117.01,76.77,139.63,94.031164,1854.17,22.97,1914.94,1014.68,103.651,1120.14,121.494374,1176.899,800.02,578.26,562.8,1472.8,787.95,2364.58,513.8,267.43,195.25,363.54,60.37,185.55,1122.41,1001.01,1150.07,913.09,964.21,2973.24,2865.14,1857.79,9642.47,86.36,43.07,169.5,3991.24,262.37,34.75,112.04
5/10/2022,203.54,4001.05,2192.987,1761.789,1843.852,1973.685,2122.28,77.21,140.47,90.993781,1838.27,22.85,1918.87,1007.22,103.92,1115.49,122.104788,1173.4,793.97,583.66,558.31,1477.69,782.85,2401.85,510.79,261.32,196.89,359.02,59.84,179.63,1125.84,999.54,1150.59,913.85,963.02,3008.43,2907.89,1907.11,9641.92,88.73,44.01,175.95,4001.05,266.68,32.99,108.22
5/11/2022,203.54,3935.18,2154.779,1718.144,1789.261,1960.125,2131.33,76.75,137.11,96.420936,1852.4,23.58,1938.43,1011.22,103.846,1105.17,122.602639,1131.554,791.23,591.63,552.71,1468.22,775.59,2322.64,510.94,260.89,193.92,361.78,57.87,164.36,1100.87,999.08,1156.29,909.41,964.19,2937.59,2774.4,1841.47,9325.72,87.92,42.83,166.3,3935.18,244.6667,32.56,109.12
5/12/2022,203.54,3930.08,2155.058,1739.382,1789.774,1962.755,2134.75,76.72,137.27,96.80403,1821.82,23.73,1909.42,987.82,104.851,1112.77,123.357587,1140.545,790.76,592.21,548.8,1481.8,776.66,2296.19,509.98,262.83,194.91,357.6,58.07,172.24,1094.28,999.64,1154.7,911.6,968.27,2911.72,2714.42,1839.2,9467.76,87.06,42.84,161.75,3930.08,242.6667,31.77,107.72
