TradeDate,FundName,Description,Ticker,ISIN,Cost,BBYellowKey,Quantity,MarketPrice,DailyPL,Type,MarketValue,NAV,CalcSID,SID,SecID,UndlSecID,UnderlierTicker,NAME,UnderlierName,SECURITY_TYP,SECURITY_TYP2,Country,Currency,FXRate,Sector,Industry,MarketCap,AvgVolume,PX_POS_MULT_FACTOR,UndlPrice,Strike,MtyYears,Expiry,FinRt,PutCall,VaRTicker,Proxy,Price,IVOL_TM,Delta,Gamma$,Gamma%,Vega,Theta,USD Mkt Cap,MarketCap,DaysLiquid,Exposure
2/21/2024,RPMF,ALL US 03/15/24 P145,ALL 03/15/24 P145,Strat,-1126.14,ALL 03/15/24 P145 Equity,-23,0.4,-57.5,Equity Option,-920,1,ALL 03/15/24 P145 Equity,ALL 03/15/24 P145 Equity,277367,14,BBG000BVMGF2,March 24 Puts on ALL US,ALLSTATE CORP,Equity Option,Option,UNITED STATES,USD,1,Financials,Insurance,41872440000,1450082.645,100,159.17,145,0.063013,2024-03-15,0.02,Put,BBG000BVMGF2 FIGI,S5FINL Index,0.4,0.273106375,-0.078872136,0.013478365,0.021453514,0.058765394,-0.042115347,41872440000,Large,0.007930582,28874.37898
2/21/2024,RPMF,ALL US 03/15/24 P155,ALL 03/15/24 P155,Strat,4981.5,ALL 03/15/24 P155 Equity,23,1.925,172.5,Equity Option,4427.5,1,ALL 03/15/24 P155 Equity,ALL 03/15/24 P155 Equity,277368,14,BBG000BVMGF2,March 24 Puts on ALL US,ALLSTATE CORP,Equity Option,Option,UNITED STATES,USD,1,Financials,Insurance,41872440000,1450082.645,100,159.17,155,0.063013,2024-03-15,0.02,Put,BBG000BVMGF2 FIGI,S5FINL Index,1.925,0.235766586,-0.308729419,0.037383759,0.05950373,0.140707685,-0.077802908,41872440000,Large,0.007930582,-113023.0618
2/21/2024,TBMF,AMZN US 02/23/24 C170,AMZN 02/23/24 C170,Strat,11777.46,AMZN 02/23/24 C170 Equity,69,1.24,1966.5,Equity Option,8556,1,AMZN 02/23/24 C170 Equity,AMZN 02/23/24 C170 Equity,277538,20,BBG000BVPV84,February 24 Calls on AMZN US,AMAZON.COM INC,Equity Option,Option,UNITED STATES,USD,1,Consumer Discretionary,Internet & Direct Marketing Re,1.75121E+12,48068328.1,100,168.59,170,0.005479,2024-02-23,0.02,Call,BBG000BVPV84 FIGI,S5COND Index,1.24,0.370723927,0.387516257,0.082782825,0.139563564,0.047792063,-0.446489935,1.75121E+12,Large,0.000717728,450786.4239
2/21/2024,INTERVALMASTERFUND,AMZN US 02/23/24 C170,AMZN 02/23/24 C170,Strat,9509.65,AMZN 02/23/24 C170 Equity,56,1.24,1596,Equity Option,6944,1,AMZN 02/23/24 C170 Equity,AMZN 02/23/24 C170 Equity,277538,20,BBG000BVPV84,February 24 Calls on AMZN US,AMAZON.COM INC,Equity Option,Option,UNITED STATES,USD,1,Consumer Discretionary,Internet & Direct Marketing Re,1.75121E+12,48068328.1,100,168.59,170,0.005479,2024-02-23,0.02,Call,BBG000BVPV84 FIGI,S5COND Index,1.24,0.370723957,0.387516267,0.082782818,0.139563554,0.047792064,-0.446489975,1.75121E+12,Large,0.000582504,365855.6577
2/21/2024,ANSWY,AMZN US 02/23/24 C170,AMZN 02/23/24 C170,Strat,31095,AMZN 02/23/24 C170 Equity,163,1.24,4645.5,Equity Option,20212,1,AMZN 02/23/24 C170 Equity,AMZN 02/23/24 C170 Equity,277538,20,BBG000BVPV84,February 24 Calls on AMZN US,AMAZON.COM INC,Equity Option,Option,UNITED STATES,USD,1,Consumer Discretionary,Internet & Direct Marketing Re,1.75121E+12,48068328.1,100,168.59,170,0.005479,2024-02-23,0.02,Call,BBG000BVPV84 FIGI,S5COND Index,1.24,0.370724036,0.387516292,0.082782802,0.139563527,0.047792064,-0.446490077,1.75121E+12,Large,0.001695503,1064901.359
2/21/2024,RPMF,AXP US 02/23/24 P185,AXP 02/23/24 P185,Strat,-61.25,AXP 02/23/24 P185 Equity,-15,0.05,-30,Equity Option,-75,1,AXP 02/23/24 P185 Equity,AXP 02/23/24 P185 Equity,277701,25,BBG000BCQZS4,February 24 Puts on AXP US,AMERICAN EXPRESS CO,Equity Option,Option,UNITED STATES,USD,1,Financials,Consumer Finance,1.52657E+11,3566753.71,100,210.89,185,0.005479,2024-02-23,0.02,Put,BBG000BCQZS4 FIGI,S5FINL Index,0.05,0.789865146,-0.011561478,0.002452646,0.005172384,0.004720642,-0.103223984,1.52657E+11,Large,0.002102752,3657.300115
2/21/2024,RPMF,AXP US 02/23/24 P207.5,AXP 02/23/24 P207.5,Strat,568.21,AXP 02/23/24 P207.5 Equity,8,0.42,48,Equity Option,336,1,AXP 02/23/24 P207.5 Equity,AXP 02/23/24 P207.5 Equity,277939,25,BBG000BCQZS4,February 24 Puts on AXP US,AMERICAN EXPRESS CO,Equity Option,Option,UNITED STATES,USD,1,Financials,Consumer Finance,1.52657E+11,3566753.71,100,210.89,207.5,0.005479,2024-02-23,0.02,Put,BBG000BCQZS4 FIGI,S5FINL Index,0.42,0.254272267,-0.190449,0.068466548,0.144389103,0.042421957,-0.278835277,1.52657E+11,Large,0.001121468,-32131.03163
2/21/2024,RPMF,AXP US 02/23/24 P210,AXP 02/23/24 P210,Strat,673.33,AXP 02/23/24 P210 Equity,8,1.125,248,Equity Option,900,1,AXP 02/23/24 P210 Equity,AXP 02/23/24 P210 Equity,278167,25,BBG000BCQZS4,February 24 Puts on AXP US,AMERICAN EXPRESS CO,Equity Option,Option,UNITED STATES,USD,1,Financials,Consumer Finance,1.52657E+11,3566753.71,100,210.89,210,0.005479,2024-02-23,0.02,Put,BBG000BCQZS4 FIGI,S5FINL Index,1.125,0.247602255,-0.402881579,0.100142659,0.211190853,0.060420872,-0.38082786,1.52657E+11,Large,0.001121468,-67970.95693
2/21/2024,RPMF,ARES US 03/15/24 P110,ARES 03/15/24 P110,Strat,-379.48,ARES 03/15/24 P110 Equity,-12,0.325,30,Equity Option,-390,1,ARES 03/15/24 P110 Equity,ARES 03/15/24 P110 Equity,277843,4756,BBG0068KVV91,March 24 Puts on ARES US,ARES MANAGEMENT CORP - A,Equity Option,Option,UNITED STATES,USD,1,Financials,Capital Markets,40434900000,958691.2667,100,131.62,110,0.063013,2024-03-15,0.02,Put,BBG0068KVV91 FIGI,S5FINL Index,0.325,0.452791903,-0.049817268,0.006873928,0.009047464,0.033976414,-0.039087095,40434900000,Large,0.006258532,7868.33856
2/21/2024,RPMF,ARES US 03/15/24 P140,ARES 03/15/24 P140,Strat,8740.52,ARES 03/15/24 P140 Equity,12,9.35,1440,Equity Option,11220,1,ARES 03/15/24 P140 Equity,ARES 03/15/24 P140 Equity,277844,4756,BBG0068KVV91,March 24 Puts on ARES US,ARES MANAGEMENT CORP - A,Equity Option,Option,UNITED STATES,USD,1,Financials,Capital Markets,40434900000,958691.2667,100,131.62,140,0.063013,2024-03-15,0.02,Put,BBG0068KVV91 FIGI,S5FINL Index,9.35,0.292311602,-0.784451666,0.030298743,0.039879206,0.096681771,-0.062929814,40434900000,Large,0.006258532,-123899.4339
