Type|AccountID|ConID|SecurityID|Symbol|BBTicker|BBGlobalID|SecurityDescription|AssetType|Currency|BaseCurrency|Quantity|QuantityInBase|CostPrice|CostBasis|CostBasisInBase|MarketPrice|MarketValue|MarketValueInBase|OpenDateTime|FxRateToBase|ReportDate|SettledQuantity|SettledQuantityInBase|MasterAccountID|Van|AccruedInt|OriginatingOrderID|Multiplier|
D|F4159694|||||||CASH|USD|USD|1171.8|1171.8|0|0|0|0|0|0||1|20231114|1171.8|1171.8|||0||1|
D|U4201472|||||||CASH|USD|USD|22057149.8078637|22057149.8078637|0|0|0|0|0|0||1|20231114|21694252.4478637|21694252.4478637|F4159694|U4201472|0||1|
D|U4201472|||||||INTACC|USD|USD|27791.47|27791.47|0|0|0|0|0|0||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|||||||DIVACC|USD|USD|122674.59|122674.59|0|0|0|0|0|0||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|4027|US00751Y1064|AAP|AAP|BBG000F7RCJ1|ADVANCE AUTO PARTS INC|STK|USD|USD|2600|0|57.15400875|148600.42274|148600.42274|58.4|151840|151840||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|653783616||AAP   231117C00055000|AAP 11 C55|BBG01J9XY9N3|AAP 17NOV23 55 C|OPT|USD|USD|-10|0|2.38096152|-2380.96152|-2380.96152|5.4811|-5481.1|-5481.1||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|653784641||AAP   231117P00055000|AAP 11 P55|BBG01J9XY9P1|AAP 17NOV23 55 P|OPT|USD|USD|-10|0|2.98029925|-2980.299252|-2980.299252|2.0594|-2059.4|-2059.4||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|657771123||AAP   231117P00057500|AAP 11 P57.5|BBG01JLZFGB2|AAP 17NOV23 57.5 P|OPT|USD|USD|-6|0|3.18914094|-1913.484564|-1913.484564|3.1|-1860|-1860||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|634550285||AAP   240119P00055000|AAP 1 P55|BBG01GW07TK4|AAP 19JAN24 55 P|OPT|USD|USD|-10|0|3.6455539|-3645.5539|-3645.5539|3.65|-3650|-3650||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|618981826||AAP   250117P00065000|AAP 1 P65|BBG01FT843B3|AAP 17JAN25 65 P|OPT|USD|USD|6|0|11.84815717|7108.8943|7108.8943|15.3156|9189.36|9189.36||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|653072967||AAP   260116C00060000|AAP 1 C60|BBG01J7Y68F5|AAP 16JAN26 60 C|OPT|USD|USD|10|0|16.9976525|16997.6525|16997.6525|17.5875|17587.5|17587.5||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|653073394||AAP   260116C00090000|AAP 1 C90|BBG01J7Y6H29|AAP 16JAN26 90 C|OPT|USD|USD|-10|0|8.21525737|-8215.257372|-8215.257372|9.4136|-9413.6|-9413.6||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|657774028||AAP   260116P00052500|AAP 1 P52.5|BBG01JLZGXS6|AAP 16JAN26 52.5 P|OPT|USD|USD|10|0|14.5986425|14598.6425|14598.6425|11.7672|11767.2|11767.2||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|265598|US0378331005|AAPL|AAPL|BBG000B9XRY4|APPLE INC|STK|USD|USD|-5000|0|188.1833026|-940916.51302|-940916.51302|187.44|-937200|-937200||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|513932890||AAPL  240119C00165000|AAPL 1 C165|BBG012GP7KM5|AAPL 19JAN24 165 C|OPT|USD|USD|-25|0|11.3996919|-28499.22975|-28499.22975|24.9366|-62341.5|-62341.5||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|584718040||AAPL  250117C00160000|AAPL 1 C160|BBG019KNL538|AAPL 17JAN25 160 C|OPT|USD|USD|20|0|30.8483905|61696.781|61696.781|42.95|85900|85900||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|584718074||AAPL  250117C00165000|AAPL 1 C165|BBG019KNL672|AAPL 17JAN25 165 C|OPT|USD|USD|30|0|31.69410383|95082.3115|95082.3115|39.25|117750|117750||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|584718149||AAPL  250117C00175000|AAPL 1 C175|BBG019KNL8F9|AAPL 17JAN25 175 C|OPT|USD|USD|25|0|30.9918905|77479.72625|77479.72625|32.35|80875|80875||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|606137613||AAPL  250620C00165000|AAPL 6 C165|BBG01C6HXNW6|AAPL 20JUN25 165 C|OPT|USD|USD|-10|0|33.0443207|-33044.3207|-33044.3207|43.7|-43700|-43700||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|612008806||AAPL  250620C00280000|AAPL 6 C280|BBG01F2BF092|AAPL 20JUN25 280 C|OPT|USD|USD|100|0|3.3053905|33053.905|33053.905|2.72|27200|27200||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|4661|US0530151036|ADP|ADP|BBG000JG0547|AUTOMATIC DATA PROCESSING|STK|USD|USD|300|0|240.62523691|72187.571074|72187.571074|230.42|69126|69126||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|660336520||ADP   231215P00220000|ADP 12 P220|BBG01JSB4K12|ADP 15DEC23 220 P|OPT|USD|USD|-3|0|5.8030367|-1740.91101|-1740.91101|1.525|-457.5|-457.5||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|584725931||ADP   250117P00230000|ADP 1 P230|BBG019KP2JV3|ADP 17JAN25 230 P|OPT|USD|USD|3|0|23.18482383|6955.44715|6955.44715|18.9202|5676.06|5676.06||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|249963585|US00123Q1040|AGNC|AGNC|BBG000TJ8XZ7|AGNC INVESTMENT CORP|STK|USD|USD|25500|0|9.75639579|248788.092714|248788.092714|8.67|221085|221085||1|20231114|0|0|F4159694|U4201472|0||1|
D|U4201472|607330296||AGNC  231215C00008000|AGNC 12 C8|BBG01C9CFP86|AGNC 15DEC23 8 C|OPT|USD|USD|-55|0|0.41938245|-2306.603458|-2306.603458|0.761|-4185.5|-4185.5||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|607330435||AGNC  231215P00008000|AGNC 12 P8|BBG01C9CFP95|AGNC 15DEC23 8 P|OPT|USD|USD|-55|0|0.49429094|-2718.600162|-2718.600162|0.12|-660|-660||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|607330320||AGNC  231215P00010000|AGNC 12 P10|BBG01C9CFQD8|AGNC 15DEC23 10 P|OPT|USD|USD|-40|0|0.48253918|-1930.15672|-1930.15672|1.4262|-5704.8|-5704.8||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|663729784||AGNC  231222C00009000|AGNC 12 C9|BBG01K05HZT5|AGNC 22DEC23 9 C|OPT|USD|USD|-100|0|0.15470758|-1547.075812|-1547.075812|0.16|-1600|-1600||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|663730648||AGNC  231222P00008000|AGNC 12 P8|BBG01K05HXN6|AGNC 22DEC23 8 P|OPT|USD|USD|-100|0|0.22933424|-2293.342384|-2293.342384|0.145|-1450|-1450||1|20231114|0|0|F4159694|U4201472|0||100|
D|U4201472|663730597||AGNC  231222P00008500|AGNC 12 P8.5|BBG01K05HYR0|AGNC 22DEC23 8.5 P|OPT|USD|USD|-100|0|0.2529068|-2529.067956|-2529.067956|0.28|-2800|-2800||1|20231114|0|0|F4159694|U4201472|0||100|
