Type|ConID|AssetType|SecurityID|CUSIP|Symbol|BBTicker|BBTickerAndExchangeCode|BBGlobalID|Description|UnderlyingSymbol|UnderlyingCategory|UnderlyingSecurityId|UnderlyingPrimaryExchange|UnderlyingConID|Multiplier|ExpirationDate|OptionType|OptionStrike|MaturityDate|IssueDate|PrimaryExchange|Currency|SubCategory|Issuer|DeliveryMonth|
D|10098|STK|US0605051046|060505104|BAC|BAC|BAC US|BBG000BCTLF6|BANK OF AMERICA CORP||||||1||||||NYSE|USD|COMMON|||
D|10174|STK|US6516391066|651639106|NEM|NEM|NEM US|BBG000BPWXK1|NEWMONT CORP||||||1||||||NYSE|USD|COMMON|||
D|10291|STK|US6541061031|654106103|NKE|NKE|NKE US|BBG000C5HS04|NIKE INC -CL B||||||1||||||NYSE|USD|COMMON|||
D|10375|STK|US9497461015|949746101|WFC|WFC|WFC US|BBG000BWQFY7|WELLS FARGO & CO||||||1||||||NYSE|USD|COMMON|||
D|105669270|STK|US7185461040|718546104|PSX|PSX|PSX US|BBG00286S4N9|PHILLIPS 66||||||1||||||NYSE|USD|COMMON|||
D|10627|STK|US6512291062|651229106|NWL|NWL|NWL US|BBG000BQC9V2|NEWELL BRANDS INC||||||1||||||NASDAQ|USD|COMMON|||
D|10754|STK|US6819361006|681936100|OHI|OHI|OHI US|BBG000BGBTC2|OMEGA HEALTHCARE INVESTORS||||||1||||||NYSE|USD|REIT|||
D|10885|STK|US20825C1045|20825C104|COP|COP|COP US|BBG000BQQH30|CONOCOPHILLIPS||||||1||||||NYSE|USD|COMMON|||
D|109911821|STK|US81762P1021|81762P102|NOW|NOW|NOW US|BBG000M1R011|SERVICENOW INC||||||1||||||NYSE|USD|COMMON|||
D|11017|STK|US7134481081|713448108|PEP|PEP|PEP US|BBG000DH7JK6|PEPSICO INC||||||1||||||NASDAQ|USD|COMMON|||
D|11031|STK|US7170811035|717081103|PFE|PFE|PFE US|BBG000BR2B91|PFIZER INC||||||1||||||NYSE|USD|COMMON|||
D|11054|STK|US7427181091|742718109|PG|PG|PG US|BBG000BR2TH3|PROCTER & GAMBLE CO/THE||||||1||||||NYSE|USD|COMMON|||
D|110619459|STK|US6974351057|697435105|PANW|PANW|PANW US|BBG0014GJCT9|PALO ALTO NETWORKS INC||||||1||||||NASDAQ|USD|COMMON|||
D|11240|STK|US6934751057|693475105|PNC|PNC|PNC US|BBG000BRD0D8|PNC FINANCIAL SERVICES GROUP||||||1||||||NYSE|USD|COMMON|||
D|115324104|STK|US98138H1014|98138H101|WDAY|WDAY|WDAY US|BBG000VC0T95|WORKDAY INC-CLASS A||||||1||||||NASDAQ|USD|COMMON|||
D|115441080|STK|US25278X1090|25278X109|FANG|FANG|FANG US|BBG002PHSYX9|DIAMONDBACK ENERGY INC||||||1||||||NASDAQ|USD|COMMON|||
D|116339790|STK|US55336V1008|55336V100|MPLX|MPLX|MPLX US|BBG0035TJGV4|MPLX LP||||||1||||||NYSE|USD|MLP|||
