Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG0076WG2V1 FIGI,BBG009S3NB30 FIGI,BBG000F1ZSQ2 FIGI,BBG000BSWKH7 FIGI,BBG000BFT2L4 FIGI,BBG000BHJWG1 FIGI,BBG000BHPL78 FIGI,BBG000BL21Z7 FIGI,BBG000BWSGF4 FIGI,BBG000C0G1D1 FIGI,BBG000C1PFY5 FIGI,BBG000C2LZP3 FIGI,BBG000CTQBF3 FIGI,BBG000DJN7L9 FIGI,BBG000F3CWW7 FIGI,BBG000F6ZWH2 FIGI,BBG000FQRVM3 FIGI,BBG000PPFKQ7 FIGI,BBG000R0L5J4 FIGI,BBG000R8ZVD1 FIGI,BBG0025XVR85 FIGI,BBG007GNPYY7 FIGI,BBG000CTSZQ6 FIGI,BBG000B9XYV2 FIGI,BBG000BVPG41 FIGI,BBG000BDSLD7 FIGI,BBG00SSQFPK6 FIGI,BBG009J8K7M0 FIGI,BBG000BW05W9 FIGI,BBG011C0FS40 FIGI,BBG00H2MPBV5 FIGI,BBG012J3H017 FIGI,BBG0136GCJX9 FIGI,BBG01BGWHFR5 FIGI,BBG0160DYCH4 FIGI,BBG01HTMDZ54 FIGI,BBG000BHLYP4 FIGI,BBG000MM2P62 FIGI,BBG000BVPV84 FIGI
1/4/2022,203.4,4793.54,2656.49,2268.87,2432.33,2209.37,2335.03,86.75,181.58,68.63,1814.6,17.37,2357.72,1234.95,96.26,1178.17,132.15,1644.07,808.33,450.9,675.26,1605.31,905.63,3051.48,569.15,320.4,268.08,359.12,87.65,277.08,1423.48,990.53,1126.38,949.29,936.95,3851.33,3437.83,2650.38,14868.11,58.75,144.42,375.39,396.47,50.19,151.51,285.61,245.96,69.12,53.14,115.46,52.63,114.24,311.32,113.2,111.66,356.41,180.57,43.8,380.82,34.57,84.68,287.97,282.77,39.07,140.27,294.27,92.76,112.4,29.99,27.13,18.48,13.55,334.99,,102.45,227.27,336.53,167.52
1/5/2022,203.4,4700.58,2600.53,2194,2353.12,2187.31,2328.43,86.08,175.49,69.4,1810.44,17.39,2365.59,1222.74,96.17,1169.85,131.7,1600.61,808.07,450.57,666.83,1593.93,896.95,2955.98,568.69,310.09,260.2,358.95,84.7,263.84,1394.11,990.25,1128.78,945.72,940.28,3722.91,3351.56,2556.47,14579.37,57.88,137.65,373.9,384.29,50.22,147.99,279.27,240.47,67.45,53.87,103.35,50.55,110.44,307.97,107.94,106.66,350.72,177.46,42.61,362.48,31.42,80.55,279.28,264.57,38,139.58,293,86.14,108.05,26.91,26.64,16.96,13.8,311.64,,100.58,226.43,324.17,164.36
1/6/2022,203.4,4696.05,2599.43,2206.37,2347.38,2192.8,2325.35,86.09,176.11,70.83,1791.16,17.6,2323.2,1217.07,96.32,1168.49,131.38,1595.36,806.4,460.89,677.14,1574.66,901.01,2941.73,561.66,310.4,261.12,355.17,84.78,263.2,1402.45,990.96,1128,945.44,939.98,3700.7,3309.78,2577.73,14510.51,58.72,137.55,370,384.02,50.51,150.14,279.85,235.6,68.54,54.01,103.21,50.87,111.14,304.7,108.16,108.14,352.56,174.27,42.84,368.77,31.48,80.81,285.64,264.89,37.76,136.99,290.5,87.82,108.27,25.91,25.57,16.53,13.32,313.75,,100.45,225.71,332.46,163.25
1/7/2022,203.4,4677.03,2587.73,2179.81,2320.74,2196.87,2319.03,85.87,174.49,70.33,1796.55,17.65,2328.99,1226.1,95.72,1169.13,131.14,1569.02,807.65,467.58,684.91,1567.5,900.75,2912.02,561.17,308.7,260.3,357.85,84.18,264.09,1394.09,991.24,1126.25,942.04,943.21,3678.5,3304.24,2499.52,14433.14,58.3,137.01,369.65,379.86,50.05,145.19,267.45,232.01,68.6,53.44,100.58,49.37,107.57,299.4,107.08,109.31,347.03,171.5,42.38,355.21,31.72,77.76,280.68,266.58,37.39,138.26,282.78,84.2,106.5,26.18,25.15,16.5,13.35,303.71,,101.39,225.04,331.79,162.55
1/10/2022,203.4,4670.29,2584.38,2171.15,2318.31,2192.71,2316.87,85.94,175.1,69.74,1801.68,17.56,2305.94,1232.27,95.99,1168.22,130.98,1559.68,801.77,466.32,682.86,1583.79,890.39,2915,555.6,306.87,260.36,355.56,83.43,260.55,1386.49,991.99,1126.35,941.96,944.72,3673.07,3309.44,2513.79,14330.3,58.25,138.57,363.91,380.11,50.52,147.51,260.78,225,68.08,55.21,98.88,49.43,106.03,298.62,109.93,110.68,345.03,168.25,44.77,348.43,31.52,78.78,283.89,264.41,36.9,138.61,282,84.8,106.43,25.77,23.9,16.38,13,312.98,,100.3,222.8,328.07,161.49
1/11/2022,203.4,4713.07,2609.88,2194,2345.44,2210.28,2321.06,86.34,177.07,72.4,1821.6,17.99,2316.74,1243.04,95.62,1173.31,131.24,1575.82,800.62,482.24,688.57,1595.84,896.03,2950.3,561.78,306.38,263.02,352.29,84.83,266.8,1392.16,991.17,1123.15,941.85,942.46,3702.98,3359.28,2555.5,14669.17,59.51,140.02,366.29,385.82,51.14,149.76,263.19,228.21,68.35,55.91,95.04,49.54,104.04,301.95,109.66,116.06,344.42,167.94,45.19,346.75,32.73,80.65,287.42,260.49,37.02,138.79,287.7,87.41,108.13,26.35,24.02,16.99,13.31,314.95,,100.73,223.44,334.37,165.36
1/12/2022,203.4,4726.35,2615.37,2176.06,2351.14,2211.31,2320.42,86.48,177.79,73.67,1826.15,18.19,2352.69,1267.34,94.92,1170.26,131.43,1585.81,800.99,483.15,688.85,1591.68,898.68,2963.15,567.13,307.26,263.96,353.54,84.07,265.31,1398.21,992.16,1125.22,940.75,941.28,3721.07,3364.7,2573.49,14636.74,58.39,141.65,367.31,387.35,50.95,151.03,261.81,226.56,69.43,55.74,94.67,48.62,103.87,304.54,109.23,115.63,343.82,170.44,44.77,352.72,33.25,79.9,289.97,259.39,37.01,140.15,287.7,85.87,107.67,26.12,24.49,17.36,13.3,320.59,,101.53,226.18,333.26,165.21
1/13/2022,203.4,4659.03,2576.47,2159.44,2293.56,2202.98,2324.36,86.17,172.83,73.2,1822.54,17.97,2359.59,1263.3,94.79,1165.11,131.57,1552.86,802.78,480.24,686.03,1565.71,900.33,2884.6,562.56,306.2,260.27,355.14,82.91,260.13,1385.42,994.17,1126.33,940.14,942.11,3604.47,3306.41,2499.08,14277.64,57.76,139.13,369.52,377.66,51.28,143.65,254.92,228.1,68.58,54.94,91.63,48.07,102.4,301.49,108,113.8,337.94,163.48,43.46,336.27,32.76,77.73,274.66,255.44,36.45,135.91,280.43,80.78,104.8,26.09,24.58,17.32,13.5,298.65,,102.46,223.73,326.48,161.21
1/14/2022,203.4,4662.85,2577.52,2162.46,2298.47,2200.17,2312.21,86.09,172.15,74.72,1817.94,18.32,2333,1257.46,95.17,1164.01,131.03,1545.9,804.27,491.98,679.12,1563.07,895.18,2910.18,557.86,302.59,261.66,352.83,82.36,259.94,1383.05,993.07,1124.43,940.73,942.87,3629.28,3317.39,2551.37,14352.57,57.19,139.79,372.14,380.01,51.68,137.17,249.5,230.59,67.05,55.7,90.76,47.64,100.12,298.05,108.17,111.61,333.73,160.06,43.8,328.98,31.81,78.35,266.39,250.62,35.99,138.9,273.45,77.89,104.13,24.42,24.35,17.45,13.49,297.39,,101.42,223.19,331.9,162.14
1/17/2022,203.4,4662.85,2577.52,2162.46,2298.47,2200.17,2312.21,86.09,172.15,74.72,1819.23,18.32,2337.99,1254.4,95.26,1164.01,131.03,1545.9,804.27,491.98,679.12,1563.07,895.18,2910.18,557.86,302.59,261.66,352.83,82.37,259.94,1383.05,993.07,1124.43,940.73,942.87,3629.28,3317.39,2551.37,14352.57,57.19,139.79,372.14,380.01,51.68,137.17,249.5,230.59,67.05,55.7,90.76,47.64,100.12,298.05,108.17,111.61,333.73,160.06,43.8,328.98,31.81,78.35,266.39,250.62,35.99,138.9,273.45,77.89,104.13,24.42,24.35,17.45,13.49,297.39,,101.42,223.19,331.9,162.14
